id,code_origin,name_origin,type,code_change,name_change,create_time,edit_time
1,120117200000,北淮淀乡,撤乡建镇,120117113000,北淮淀镇,12/21/2017 11:19:45,12/21/2017 11:19:45
2,120117201000,俵口乡,撤乡建镇,120117111000,俵口镇,12/21/2017 11:19:45,12/21/2017 11:19:45
3,120117202000,廉庄子乡,撤乡建镇,120117112000,廉庄镇,12/21/2017 11:19:45,12/21/2017 11:19:45
4,,,新增街道,120112002000,双林街道,12/21/2017 11:19:45,12/21/2017 11:19:45
5,130402200000,马庄乡,撤销,,,12/21/2017 11:19:45,12/21/2017 11:19:45
6,130825100000,隆化镇,撤销,,,12/21/2017 11:19:45,12/21/2017 11:19:45
7,130532100000,丰州镇,撤销,,,12/21/2017 11:19:45,12/21/2017 11:19:45
8,130984100000,瀛州镇,撤镇设街道,130984001000,瀛州路街道,12/21/2017 11:19:45,12/21/2017 11:19:45
9,,,新设街道,130984002000,城垣西路街道,12/21/2017 11:19:45,12/21/2017 11:19:45
10,130984207000,诗经村乡,撤乡设镇,130984107000,诗经村镇,12/21/2017 11:19:45,12/21/2017 11:19:45
11,130984208000,郭家村乡,撤乡设镇,130984107000,诗经村镇,12/21/2017 11:19:45,12/21/2017 11:19:45
12,130681203000,林家屯乡,撤乡设镇,130681109000,林家屯镇,12/21/2017 11:19:45,12/21/2017 11:19:45
13,130683202000,西安国城乡,撤乡设镇,130683106000,西城镇,12/21/2017 11:19:45,12/21/2017 11:19:45
14,130684202000,张六庄乡,撤乡设镇,130684107000,张六庄镇,12/21/2017 11:19:45,12/21/2017 11:19:45
15,130635203000,鲍墟乡,撤乡设镇,130635109000,鲍墟镇,12/21/2017 11:19:45,12/21/2017 11:19:45
16,130631205000,中韩庄乡,撤乡设镇,130631103000,中韩庄镇,12/21/2017 11:19:45,12/21/2017 11:19:45
17,130634209000,齐村乡,撤乡设镇,130634107000,齐村镇,12/21/2017 11:19:45,12/21/2017 11:19:45
18,130623203000,娄村满族乡,撤乡设镇,130623108000,娄村镇,12/21/2017 11:19:45,12/21/2017 11:19:45
19,130623201000,王村乡,撤乡设镇,130623109000,王村镇,12/21/2017 11:19:45,12/21/2017 11:19:45
20,130623200000,明义乡,撤乡设镇,130623110000,明义镇,12/21/2017 11:19:45,12/21/2017 11:19:45
21,130684200000,肖官营乡,撤乡设镇,130684108000,肖官营镇,12/21/2017 11:19:45,12/21/2017 11:19:45
22,130608209000,望亭乡,撤乡设镇,130608108000,望亭镇,12/21/2017 11:19:45,12/21/2017 11:19:45
23,130609201000,留村乡,撤乡设镇,130609107000,留村镇,12/21/2017 11:19:45,12/21/2017 11:19:45
24,130609200000,东史端乡,撤乡设镇,130609108000,东史端镇,12/21/2017 11:19:45,12/21/2017 11:19:45
25,130609202000,正村乡,撤乡设镇,130609109000,正村镇,12/21/2017 11:19:45,12/21/2017 11:19:45
26,131125203000,大子文乡,撤乡设镇,131125103000,大子文镇,12/21/2017 11:19:45,12/21/2017 11:19:45
27,131125204000,东黄城乡,撤乡设镇,131125104000,东黄城镇,12/21/2017 11:19:45,12/21/2017 11:19:45
28,130681206000,刁窝乡,撤乡设镇,130681108000,刁窝镇,12/21/2017 11:19:45,12/21/2017 11:19:45
29,130627204000,罗庄乡,撤乡设镇,130627108000,罗庄镇,12/21/2017 11:19:45,12/21/2017 11:19:45
30,130922202000,盘古乡,撤乡设镇,130922106000,盘古镇,12/21/2017 11:19:45,12/21/2017 11:19:45
31,130403601000,三陵乡托管,区划代码变更,130403203000,三陵乡,12/21/2017 11:19:45,12/21/2017 11:19:45
32,,,新增街道,150603004000,康新街道,12/21/2017 11:19:45,12/21/2017 11:19:45
33,150123208000,巧什营乡,撤乡设镇,150123103000,巧什营镇,12/21/2017 11:19:45,12/21/2017 11:19:45
34,,,新设镇,150621115000,风水梁镇,12/21/2017 11:19:45,12/21/2017 11:19:45
35,152223202000,好力保乡,撤乡设镇,152223106000,好力保镇,12/21/2017 11:19:45,12/21/2017 11:19:45
36,,,新设镇,150622120000,魏家峁镇,12/21/2017 11:19:45,12/21/2017 11:19:45
37,210214101000,安波镇,撤镇设街道,210214014000,安波街道,12/21/2017 11:19:45,12/21/2017 11:19:45
38,210214103000,沙包镇,撤镇设街道,210214015000,沙包街道,12/21/2017 11:19:45,12/21/2017 11:19:45
39,210224202000,广鹿乡,撤乡设镇,210224102000,广鹿岛镇,12/21/2017 11:19:45,12/21/2017 11:19:45
40,,,新增街道,211191002000,荣滨街道,12/21/2017 11:19:45,12/21/2017 11:19:45
41,,,新增街道,211191003000,二界沟街道,12/21/2017 11:19:45,12/21/2017 11:19:45
42,210403013000,抚东街道,撤销街道,,,12/21/2017 11:19:45,12/21/2017 11:19:45
43,210782005000,观音阁街道,撤销街道,,,12/21/2017 11:19:45,12/21/2017 11:19:45
44,220322101000,郭家店镇,区划代码变更,220302101000,郭家店镇,12/21/2017 11:19:45,12/21/2017 11:19:45
45,220322109000,十家堡镇,区划代码变更,220302100000,十家堡镇,12/21/2017 11:19:45,12/21/2017 11:19:45
46,,,新增街道,230108008000,平盛街道,12/21/2017 11:19:45,12/21/2017 11:19:45
47,,,新增街道,230108009000,建安街道,12/21/2017 11:19:45,12/21/2017 11:19:45
