,Unnamed: 0,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
0,63,64,江苏省,苏州市,姑苏区,,,320508000000,12/21/2017 11:18:52,12/21/2017 14:52:43,,新增,320000000000,320500000000,320508000000
1,423,424,新疆维吾尔自治区,博尔塔拉蒙古自治州,阿拉山口市,,,652702000000,12/21/2017 11:18:52,12/21/2017 14:52:43,,新增,650000000000,652700000000,652702000000
3,609,610,广东省,揭阳市,揭东区,,,445203000000,12/21/2017 11:18:52,12/21/2017 14:52:43,,新增,440000000000,445200000000,445203000000
4,686,687,广东省,清远市,清新区,,,441803000000,12/21/2017 11:18:52,12/21/2017 14:52:43,,新增,440000000000,441800000000,441803000000
5,1058,1059,江苏省,苏州市,吴江区,,,320509000000,12/21/2017 11:18:52,12/21/2017 14:52:43,,新增,320000000000,320500000000,320509000000
6,1287,1288,贵州省,贵阳市,观山湖区,,,520115000000,12/21/2017 11:18:52,12/21/2017 14:52:43,,新增,520000000000,520100000000,520115000000
7,1346,1347,四川省,雅安市,名山区,,,511803000000,12/21/2017 11:18:52,12/21/2017 14:52:43,,新增,510000000000,511800000000,511803000000
8,1488,1489,河北省,唐山市,曹妃甸区,,,130209000000,12/21/2017 11:18:52,12/21/2017 14:52:43,,新增,130000000000,130200000000,130209000000
9,1959,1960,安徽省,马鞍山市,博望区,,,340506000000,12/21/2017 11:18:52,12/21/2017 14:52:43,,新增,340000000000,340500000000,340506000000
10,2385,2386,江苏省,泰州市,姜堰区,,,321204000000,12/21/2017 11:18:52,12/21/2017 14:52:43,,新增,320000000000,321200000000,321204000000
11,2497,2498,西藏自治区,那曲地区,双湖县,,,542431000000,12/21/2017 11:18:52,12/21/2017 14:52:43,,新增,540000000000,542400000000,542431000000
