,Unnamed: 0,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
1,180,181,新疆维吾尔自治区,哈密市,,,,650500000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,650000000000,650500000000,650500000000
5,462,463,西藏自治区,山南市,,,,540500000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540500000000
