id,code_origin,name_origin,type,code_change,name_change,create_time,edit_time
114,320321110000,孙楼镇,撤镇建街道,320321003000,孙楼街道,12/21/2017 11:19:57,12/21/2017 11:19:57
115,,,新建街道,320321001000,中阳里街道,12/21/2017 11:19:57,12/21/2017 11:19:57
116,320322101000,沛城镇,撤镇建街道,320322001000,沛城街道,12/21/2017 11:19:57,12/21/2017 11:19:57
117,320322104000,大屯镇,撤镇建街道,320322002000,大屯街道,12/21/2017 11:19:57,12/21/2017 11:19:57
118,,,新建街道,320322003000,汉兴街道,12/21/2017 11:19:57,12/21/2017 11:19:57
119,,,新建街道,320322004000,汉源街道,12/21/2017 11:19:57,12/21/2017 11:19:57
120,321204114000,姜堰镇,撤镇建街道,321204001000,罗塘街道,12/21/2017 11:19:57,12/21/2017 11:19:57
121,321204114000,姜堰镇,撤镇建街道,321204002000,三水街道,12/21/2017 11:19:57,12/21/2017 11:19:57
122,320116101000,冶山镇,撤镇建街道,320116008000,冶山街道,12/21/2017 11:19:57,12/21/2017 11:19:57
123,321111003000,官塘街道,更名,,官塘桥街道,12/21/2017 11:19:57,12/21/2017 11:19:57
124,320829100000,高良涧镇,撤镇建街道,320829001000,高良涧街道,12/21/2017 11:19:57,12/21/2017 11:19:57
125,,,新建街道,320829002000,朱坝街道,12/21/2017 11:19:57,12/21/2017 11:19:57
126,320829108000,黄集镇,撤镇建街道,320829003000,黄集街道,12/21/2017 11:19:57,12/21/2017 11:19:57
127,320829102000,仁和镇,撤销,,,12/21/2017 11:19:57,12/21/2017 11:19:57
128,320829109000,万集镇,撤销,,,12/21/2017 11:19:57,12/21/2017 11:19:57
129,320829111000,共和镇,撤销,,,12/21/2017 11:19:57,12/21/2017 11:19:57
130,321311100000,顺河镇,撤镇建街道,321311001000,顺河街道,12/21/2017 11:19:57,12/21/2017 11:19:57
131,321311100000,顺河镇,撤镇建街道,321311002000,豫新街道,12/21/2017 11:19:57,12/21/2017 11:19:57
132,321311100000,顺河镇,撤镇建街道,321311003000,下相街道,12/21/2017 11:19:57,12/21/2017 11:19:57
133,330523100000,递铺镇,撤镇建街道,330523001000,递铺街道,12/21/2017 11:19:57,12/21/2017 11:19:57
134,330523100000,递铺镇,撤镇建街道,330523002000,昌硕街道,12/21/2017 11:19:57,12/21/2017 11:19:57
135,330523100000,递铺镇,撤镇建街道,330523003000,灵峰街道,12/21/2017 11:19:57,12/21/2017 11:19:57
136,330523204000,皈山乡,撤乡建街道,330523004000,孝源街道,12/21/2017 11:19:57,12/21/2017 11:19:57
137,330824100000,城关镇,并入其他建制,,,12/21/2017 11:19:57,12/21/2017 11:19:57
138,330824206000,张湾乡,并入其他建制,,,12/21/2017 11:19:57,12/21/2017 11:19:57
139,330824209000,塘坞乡,并入其他建制,,,12/21/2017 11:19:57,12/21/2017 11:19:57
140,330824214000,金村乡,并入其他建制,,,12/21/2017 11:19:57,12/21/2017 11:19:57
141,330881203000,双溪口乡,撤销,,,12/21/2017 11:19:57,12/21/2017 11:19:57
142,331191002000,富岭街道,撤销,,,12/21/2017 11:19:57,12/21/2017 11:19:57
143,330109109000,闻堰镇,撤镇建街道,330109012000,新街街道,12/21/2017 11:19:57,12/21/2017 11:19:57
144,330109110000,宁围镇,撤镇建街道,330109013000,闻堰街道,12/21/2017 11:19:57,12/21/2017 11:19:57
145,330109111000,新街镇,撤镇建街道,330109014000,宁围街道,12/21/2017 11:19:57,12/21/2017 11:19:57
146,,,新建街道,330782008000,福田街道,12/21/2017 11:19:57,12/21/2017 11:19:57
147,330206101000,春晓镇,撤镇建街道,330206008000,梅山街道,12/21/2017 11:19:57,12/21/2017 11:19:57
