,Unnamed: 0,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
11,641,642,新疆维吾尔自治区,吐鲁番市,,,,650400000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,650000000000,650400000000,650400000000
38,2403,2404,海南省,儋州市,,,,460400000000,12/21/2017 11:18:15,12/21/2017 16:05:17,,代码变更,460000000000,460400000000,460400000000
52,3035,3036,西藏自治区,林芝市,,,,540400000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,540000000000,540400000000,540400000000
