,Unnamed: 0,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
0,112,113,北京市,,密云县,,,110228000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,110000000000,110200000000,110228000000
1,121,122,天津市,,静海县,,,120223000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,120000000000,120200000000,120223000000
7,606,607,重庆市,,潼南县,,,500223000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,500000000000,500200000000,500223000000
12,870,871,北京市,,延庆县,,,110229000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,110000000000,110200000000,110229000000
27,1430,1431,天津市,,宁河县,,,120221000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,120000000000,120200000000,120221000000
45,2316,2317,重庆市,,荣昌县,,,500226000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,500000000000,500200000000,500226000000
48,2385,2386,上海市,,闸北区,,,310108000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,310000000000,310100000000,310108000000
49,2404,2405,海南省,,儋州市,,,469003000000,12/21/2017 11:18:21,12/21/2017 14:53:25,12/31/2014,代码变更,460000000000,469000000000,469003000000
