,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
378,379,山东省,济宁市,市中区,,,370802000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,370000000000,370800000000,370802000000
382,383,青海省,玉树藏族自治州,玉树县,,,632721000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,630000000000,632700000000,632721000000
605,606,江苏省,南京市,溧水县,,,320124000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,320000000000,320100000000,320124000000
945,946,山东省,济宁市,兖州市,,,370882000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,370000000000,370800000000,370882000000
964,965,青海省,海东地区,民和回族土族自治县,,,632122000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,630000000000,632100000000,632122000000
1052,1053,浙江省,绍兴市,上虞市,,,330682000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,330000000000,330600000000,330682000000
1115,1116,广东省,梅州市,梅县,,,441421000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,440000000000,441400000000,441421000000
1234,1235,青海省,海东地区,互助土族自治县,,,632126000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,630000000000,632100000000,632126000000
1640,1641,云南省,红河哈尼族彝族自治州,弥勒县,,,532526000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,530000000000,532500000000,532526000000
1653,1654,江西省,赣州市,南康市,,,360782000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,360000000000,360700000000,360782000000
1670,1671,青海省,海东地区,循化撒拉族自治县,,,632128000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,630000000000,632100000000,632128000000
1764,1765,青海省,海东地区,乐都县,,,632123000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,630000000000,632100000000,632123000000
1811,1812,四川省,达州市,达县,,,511721000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,510000000000,511700000000,511721000000
2061,2062,江苏省,南京市,高淳县,,,320125000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,320000000000,320100000000,320125000000
2329,2330,青海省,海东地区,,,,632100000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,630000000000,632100000000,632100000000
2699,2700,青海省,海东地区,化隆回族自治县,,,632127000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,630000000000,632100000000,632127000000
2704,2705,四川省,广元市,元坝区,,,510811000000,12/21/2017 11:18:52,12/21/2017 14:52:45,12/31/2012,名称变更,510000000000,510800000000,510811000000
2714,2715,广西壮族自治区,桂林市,临桂县,,,450322000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,450000000000,450300000000,450322000000
2911,2912,广西壮族自治区,梧州市,蝶山区,,,450404000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,450000000000,450400000000,450404000000
2967,2968,青海省,海东地区,平安县,,,632121000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,630000000000,632100000000,632121000000
3093,3094,江苏省,南京市,白下区,,,320103000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,320000000000,320100000000,320103000000
3128,3129,江苏省,南京市,下关区,,,320107000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,320000000000,320100000000,320107000000
3133,3134,吉林省,松原市,扶余县,,,220724000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,220000000000,220700000000,220724000000
3172,3173,广东省,潮州市,潮安县,,,445121000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,440000000000,445100000000,445121000000
3183,3184,浙江省,绍兴市,绍兴县,,,330621000000,12/21/2017 11:18:52,12/21/2017 14:52:57,12/31/2012,撤销,330000000000,330600000000,330621000000
