id,province,city,area,street,community,code_num,create_time,edit_time,change_type,expire_date
23,河北省,邢台市,任县,,,130526000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
24,黑龙江省,鹤岗市,向阳区,,,230402000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
25,重庆市,,城口县,,,500229000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
26,广西壮族自治区,河池市,宜州市,,,451281000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
27,山东省,聊城市,,,,371500000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
28,贵州省,遵义市,红花岗区,,,520302000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
29,黑龙江省,黑河市,,,,231100000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
30,湖南省,郴州市,,,,431000000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
31,浙江省,台州市,天台县,,,331023000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
32,四川省,乐山市,沐川县,,,511129000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
33,海南省,,文昌市,,,469005000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
34,福建省,福州市,闽清县,,,350124000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
35,湖北省,武汉市,,,,420100000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
36,河南省,新乡市,长垣县,,,410728000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
37,河南省,商丘市,夏邑县,,,411426000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
38,云南省,迪庆藏族自治州,维西傈僳族自治县,,,533423000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
39,湖北省,武汉市,汉阳区,,,420105000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
40,新疆维吾尔自治区,哈密地区,巴里坤哈萨克自治县,,,652222000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
41,江西省,抚州市,崇仁县,,,361024000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
42,新疆维吾尔自治区,塔城地区,沙湾县,,,654223000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
43,吉林省,白城市,,,,220800000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
44,广西壮族自治区,玉林市,容县,,,450921000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
45,四川省,乐山市,井研县,,,511124000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
46,安徽省,宣城市,旌德县,,,341825000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
47,河北省,石家庄市,晋州市,,,130183000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
48,江苏省,宿迁市,宿豫区,,,321311000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
49,江西省,鹰潭市,,,,360600000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
50,湖北省,十堰市,房县,,,420325000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
51,内蒙古自治区,赤峰市,敖汉旗,,,150430000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
52,甘肃省,张掖市,高台县,,,620724000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
53,山西省,晋中市,和顺县,,,140723000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
54,河北省,保定市,定州市,,,130682000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
55,陕西省,渭南市,潼关县,,,610522000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
56,西藏自治区,那曲地区,班戈县,,,542428000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
57,陕西省,安康市,汉滨区,,,610902000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
58,河北省,邢台市,邢台县,,,130521000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
59,广西壮族自治区,百色市,德保县,,,451024000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
60,贵州省,黔东南苗族侗族自治州,从江县,,,522633000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
61,福建省,泉州市,洛江区,,,350504000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
62,广东省,珠海市,斗门区,,,440403000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
63,陕西省,延安市,富县,,,610628000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
64,湖北省,黄冈市,英山县,,,421124000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
65,江苏省,常州市,天宁区,,,320402000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
66,西藏自治区,日喀则地区,南木林县,,,542322000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
67,四川省,绵阳市,,,,510700000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
68,四川省,阿坝藏族羌族自治州,壤塘县,,,513230000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
69,重庆市,,铜梁县,,,500224000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
70,贵州省,黔东南苗族侗族自治州,剑河县,,,522629000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
71,安徽省,蚌埠市,龙子湖区,,,340302000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
72,重庆市,,黔江区,,,500114000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
73,广东省,梅州市,蕉岭县,,,441427000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
74,四川省,南充市,阆中市,,,511381000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
75,吉林省,吉林市,,,,220200000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
76,四川省,广安市,邻水县,,,511623000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
77,河南省,驻马店市,,,,411700000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
78,广西壮族自治区,桂林市,阳朔县,,,450321000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
79,安徽省,阜阳市,阜南县,,,341225000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
80,陕西省,延安市,黄陵县,,,610632000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
81,天津市,,南开区,,,120104000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
82,河南省,信阳市,淮滨县,,,411527000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
83,河北省,保定市,望都县,,,130631000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
84,辽宁省,沈阳市,沈北新区,,,210113000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
85,江西省,上饶市,横峰县,,,361125000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
86,河南省,商丘市,民权县,,,411421000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
87,湖南省,邵阳市,绥宁县,,,430527000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
88,湖南省,娄底市,双峰县,,,431321000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
89,四川省,巴中市,巴州区,,,511902000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
90,广西壮族自治区,防城港市,,,,450600000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
91,四川省,成都市,,,,510100000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
92,云南省,曲靖市,宣威市,,,530381000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
93,甘肃省,平凉市,庄浪县,,,620825000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
94,湖北省,宜昌市,当阳市,,,420582000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
95,江西省,宜春市,奉新县,,,360921000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
96,陕西省,宝鸡市,渭滨区,,,610302000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
97,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,,,652827000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
98,河北省,承德市,,,,130800000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
99,浙江省,杭州市,拱墅区,,,330105000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
100,山东省,青岛市,胶州市,,,370281000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
101,黑龙江省,齐齐哈尔市,泰来县,,,230224000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
102,湖北省,襄樊市,枣阳市,,,420683000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
103,江西省,吉安市,永丰县,,,360825000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
104,浙江省,嘉兴市,海宁市,,,330481000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
105,山东省,临沂市,郯城县,,,371322000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
106,北京市,,密云县,,,110228000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
107,四川省,乐山市,马边彝族自治县,,,511133000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
108,湖南省,岳阳市,华容县,,,430623000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
109,浙江省,金华市,,,,330700000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
110,安徽省,淮南市,凤台县,,,340421000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
111,黑龙江省,双鸭山市,岭东区,,,230503000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
112,河南省,鹤壁市,淇县,,,410622000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
113,河北省,石家庄市,元氏县,,,130132000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
114,浙江省,嘉兴市,嘉善县,,,330421000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
115,天津市,,静海县,,,120223000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
116,福建省,龙岩市,连城县,,,350825000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
117,湖南省,益阳市,资阳区,,,430902000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
118,广东省,汕头市,潮阳区,,,440513000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
119,广西壮族自治区,梧州市,藤县,,,450422000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
120,湖北省,随州市,广水市,,,421381000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
121,浙江省,丽水市,松阳县,,,331124000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
122,湖南省,衡阳市,蒸湘区,,,430408000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
123,广东省,云浮市,云安县,,,445323000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
124,河北省,张家口市,赤城县,,,130732000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
125,安徽省,蚌埠市,淮上区,,,340311000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
126,辽宁省,铁岭市,,,,211200000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
127,江西省,九江市,星子县,,,360427000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
128,四川省,南充市,顺庆区,,,511302000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
129,广东省,茂名市,茂南区,,,440902000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
130,西藏自治区,那曲地区,比如县,,,542423000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
131,湖南省,娄底市,冷水江市,,,431381000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
132,河南省,漯河市,,,,411100000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
133,四川省,宜宾市,南溪县,,,511522000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
134,河南省,开封市,开封县,,,410224000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
135,山西省,运城市,平陆县,,,140829000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
136,安徽省,滁州市,全椒县,,,341124000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
137,辽宁省,葫芦岛市,连山区,,,211402000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
138,山西省,长治市,郊区,,,140411000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
139,浙江省,宁波市,北仑区,,,330206000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
140,江苏省,常州市,溧阳市,,,320481000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
141,四川省,成都市,新都区,,,510114000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
142,安徽省,铜陵市,,,,340700000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
143,辽宁省,沈阳市,大东区,,,210104000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
144,云南省,普洱市,镇沅彝族哈尼族拉祜族自治县,,,530825000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
145,云南省,昆明市,富民县,,,530124000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
146,甘肃省,,,,,620000000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
147,河南省,安阳市,北关区,,,410503000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
148,天津市,,大港区,,,120109000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
149,北京市,,顺义区,,,110113000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
150,甘肃省,金昌市,永昌县,,,620321000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
151,湖南省,湘西土家族苗族自治州,保靖县,,,433125000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
152,福建省,宁德市,福安市,,,350981000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
153,山西省,朔州市,应县,,,140622000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
154,河南省,平顶山市,新华区,,,410402000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
155,四川省,宜宾市,筠连县,,,511527000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
156,甘肃省,武威市,,,,620600000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
157,吉林省,长春市,朝阳区,,,220104000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
158,安徽省,合肥市,,,,340100000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
159,山东省,济宁市,曲阜市,,,370881000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
160,天津市,,北辰区,,,120113000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
161,广西壮族自治区,柳州市,城中区,,,450202000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
162,湖南省,湘潭市,雨湖区,,,430302000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
163,云南省,文山壮族苗族自治州,麻栗坡县,,,532624000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
164,江西省,抚州市,东乡县,,,361029000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
165,广西壮族自治区,河池市,环江毛南族自治县,,,451226000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
166,河北省,保定市,清苑县,,,130622000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
167,河南省,南阳市,内乡县,,,411325000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
168,浙江省,杭州市,,,,330100000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
169,湖南省,怀化市,会同县,,,431225000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
170,四川省,甘孜藏族自治州,白玉县,,,513331000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
171,福建省,,,,,350000000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
172,陕西省,汉中市,,,,610700000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
173,陕西省,渭南市,白水县,,,610527000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
174,西藏自治区,阿里地区,日土县,,,542524000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
175,新疆维吾尔自治区,乌鲁木齐市,达坂城区,,,650107000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
176,四川省,阿坝藏族羌族自治州,汶川县,,,513221000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
177,四川省,广元市,苍溪县,,,510824000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
178,青海省,,,,,630000000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
179,云南省,丽江市,宁蒗彝族自治县,,,530724000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
180,黑龙江省,伊春市,乌伊岭区,,,230714000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
181,山西省,晋中市,平遥县,,,140728000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
182,江西省,,,,,360000000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
183,甘肃省,酒泉市,玉门市,,,620981000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
184,四川省,内江市,隆昌县,,,511028000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
185,内蒙古自治区,阿拉善盟,阿拉善左旗,,,152921000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
186,甘肃省,庆阳市,合水县,,,621024000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
187,贵州省,黔东南苗族侗族自治州,三穗县,,,522624000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
188,浙江省,金华市,武义县,,,330723000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
189,新疆维吾尔自治区,乌鲁木齐市,天山区,,,650102000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
190,广东省,深圳市,龙岗区,,,440307000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
191,湖南省,长沙市,开福区,,,430105000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
192,广东省,河源市,和平县,,,441624000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
193,甘肃省,临夏回族自治州,康乐县,,,622922000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
194,福建省,漳州市,,,,350600000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
195,江西省,赣州市,上犹县,,,360724000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
196,内蒙古自治区,呼和浩特市,和林格尔县,,,150123000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
197,河北省,保定市,北市区,,,130603000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
198,安徽省,亳州市,利辛县,,,341623000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
199,海南省,海口市,龙华区,,,460106000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
200,吉林省,辽源市,龙山区,,,220402000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
201,黑龙江省,大庆市,让胡路区,,,230604000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
202,江西省,吉安市,吉州区,,,360802000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
203,甘肃省,金昌市,金川区,,,620302000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
204,湖北省,恩施土家族苗族自治州,利川市,,,422802000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
205,辽宁省,大连市,,,,210200000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
206,辽宁省,铁岭市,昌图县,,,211224000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
207,新疆维吾尔自治区,阿克苏地区,库车县,,,652923000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
208,山东省,潍坊市,昌乐县,,,370725000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
209,辽宁省,沈阳市,辽中县,,,210122000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
210,重庆市,,江北区,,,500105000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
211,山东省,滨州市,沾化县,,,371624000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
212,云南省,临沧市,凤庆县,,,530921000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
213,广东省,江门市,鹤山市,,,440784000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
214,河南省,周口市,商水县,,,411623000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
215,河南省,平顶山市,湛河区,,,410411000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
216,河北省,邯郸市,魏县,,,130434000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
217,吉林省,通化市,梅河口市,,,220581000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
218,河北省,秦皇岛市,卢龙县,,,130324000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
219,广东省,佛山市,,,,440600000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
220,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,,622927000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
221,湖南省,永州市,江华瑶族自治县,,,431129000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
222,贵州省,遵义市,赤水市,,,520381000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
223,江苏省,常州市,新北区,,,320411000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
224,湖南省,长沙市,,,,430100000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
225,广西壮族自治区,河池市,金城江区,,,451202000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
226,甘肃省,定西市,漳县,,,621125000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
227,江西省,赣州市,全南县,,,360729000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
228,湖北省,宜昌市,秭归县,,,420527000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
229,江苏省,扬州市,宝应县,,,321023000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
230,山西省,运城市,,,,140800000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
231,青海省,海南藏族自治州,,,,632500000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
232,陕西省,咸阳市,永寿县,,,610426000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
233,广西壮族自治区,崇左市,宁明县,,,451422000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
234,湖南省,长沙市,宁乡县,,,430124000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
235,广东省,清远市,英德市,,,441881000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
236,黑龙江省,齐齐哈尔市,,,,230200000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
237,河南省,洛阳市,吉利区,,,410306000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
238,四川省,凉山彝族自治州,雷波县,,,513437000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
239,河北省,张家口市,怀安县,,,130728000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
240,云南省,昭通市,彝良县,,,530628000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
241,新疆维吾尔自治区,阿克苏地区,阿瓦提县,,,652928000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
242,内蒙古自治区,赤峰市,红山区,,,150402000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
243,山西省,晋城市,沁水县,,,140521000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
244,江苏省,淮安市,,,,320800000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
245,广东省,云浮市,,,,445300000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
246,贵州省,遵义市,习水县,,,520330000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
247,云南省,楚雄彝族自治州,双柏县,,,532322000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
248,河南省,安阳市,滑县,,,410526000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
249,河南省,周口市,鹿邑县,,,411628000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
250,江西省,宜春市,丰城市,,,360981000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
251,新疆维吾尔自治区,阿勒泰地区,哈巴河县,,,654324000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
252,山东省,泰安市,新泰市,,,370982000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
253,云南省,临沧市,临翔区,,,530902000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
254,山东省,日照市,东港区,,,371102000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
255,湖南省,永州市,道县,,,431124000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
256,陕西省,安康市,岚皋县,,,610925000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
257,陕西省,汉中市,留坝县,,,610729000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
258,四川省,凉山彝族自治州,木里藏族自治县,,,513422000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
259,云南省,昭通市,盐津县,,,530623000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
260,黑龙江省,齐齐哈尔市,昂昂溪区,,,230205000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
261,山东省,烟台市,,,,370600000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
262,甘肃省,天水市,秦安县,,,620522000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
263,河北省,石家庄市,桥西区,,,130104000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
264,广西壮族自治区,南宁市,马山县,,,450124000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
265,福建省,泉州市,金门县,,,350527000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
266,内蒙古自治区,锡林郭勒盟,苏尼特左旗,,,152523000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
