id,province,city,area,street,community,code_num,create_time,edit_time,change_type,expire_date
1,吉林省,长春市,德惠市,,,220183000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
2,四川省,成都市,青羊区,,,510105000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
3,山东省,东营市,广饶县,,,370523000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
4,山西省,长治市,城区,,,140402000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
5,江西省,萍乡市,莲花县,,,360321000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
6,河北省,唐山市,,,,130200000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
7,河北省,保定市,顺平县,,,130636000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
8,黑龙江省,哈尔滨市,依兰县,,,230123000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
9,山西省,吕梁市,,,,141100000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
10,湖南省,衡阳市,南岳区,,,430412000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
11,江西省,宜春市,铜鼓县,,,360926000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
12,江苏省,连云港市,灌云县,,,320723000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
13,山东省,潍坊市,高密市,,,370785000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
14,山西省,太原市,娄烦县,,,140123000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
15,辽宁省,丹东市,振兴区,,,210603000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
16,湖南省,邵阳市,新邵县,,,430522000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
17,黑龙江省,牡丹江市,海林市,,,231083000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
18,福建省,南平市,松溪县,,,350724000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
19,陕西省,商洛市,,,,611000000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
20,黑龙江省,佳木斯市,抚远县,,,230833000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
21,甘肃省,陇南市,武都区,,,621202000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
22,广东省,茂名市,高州市,,,440981000000,12/21/2017 11:19:40,12/21/2017 14:52:07,,
