,Unnamed: 0,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
9,635,636,重庆市,,梁平县,,,500228000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,500000000000,500200000000,500228000000
17,1366,1367,天津市,,蓟县,,,120225000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,120000000000,120200000000,120225000000
39,2367,2368,上海市,,崇明县,,,310230000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,310000000000,310200000000,310230000000
45,2483,2484,重庆市,,武隆县,,,500232000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,500000000000,500200000000,500232000000
48,2771,2772,重庆市,,开县,,,500234000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,500000000000,500200000000,500234000000
