,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
21,22,安徽省,马鞍山市,含山县,,,340522000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,340000000000,340500000000,340522000000
38,39,贵州省,毕节市,黔西县,,,520522000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520500000000,520522000000
81,82,贵州省,铜仁市,石阡县,,,520623000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520600000000,520623000000
283,284,新疆维吾尔自治区,,北屯市,,,659005000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,650000000000,659000000000,659005000000
326,327,安徽省,芜湖市,无为县,,,340225000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,340000000000,340200000000,340225000000
338,339,贵州省,铜仁市,松桃苗族自治县,,,520628000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520600000000,520628000000
452,453,贵州省,铜仁市,,,,520600000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520600000000,520600000000
560,561,云南省,昆明市,呈贡区,,,530114000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,530000000000,530100000000,530114000000
770,771,安徽省,合肥市,庐江县,,,340124000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,340000000000,340100000000,340124000000
872,873,贵州省,毕节市,,,,520500000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520500000000,520500000000
899,900,贵州省,铜仁市,万山区,,,520603000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520600000000,520603000000
949,950,重庆市,,綦江区,,,500110000000,12/21/2017 11:19:14,12/21/2017 16:03:49,,名称变更,500000000000,500100000000,500110000000
994,995,贵州省,铜仁市,沿河土家族自治县,,,520627000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520600000000,520627000000
1181,1182,贵州省,铜仁市,江口县,,,520621000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520600000000,520621000000
1381,1382,贵州省,毕节市,金沙县,,,520523000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520500000000,520523000000
1509,1510,贵州省,毕节市,大方县,,,520521000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520500000000,520521000000
1522,1523,贵州省,毕节市,赫章县,,,520527000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520500000000,520527000000
1544,1545,贵州省,毕节市,纳雍县,,,520525000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520500000000,520525000000
1581,1582,湖南省,长沙市,望城区,,,430112000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,430000000000,430100000000,430112000000
1627,1628,贵州省,铜仁市,碧江区,,,520602000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520600000000,520602000000
1782,1783,江苏省,淮安市,淮安区,,,320803000000,12/21/2017 11:19:14,12/21/2017 16:03:49,,名称变更,320000000000,320800000000,320803000000
1852,1853,贵州省,铜仁市,印江土家族苗族自治县,,,520625000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520600000000,520625000000
1995,1996,安徽省,合肥市,巢湖市,,,340181000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,340000000000,340100000000,340181000000
2182,2183,贵州省,毕节市,七星关区,,,520502000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520500000000,520502000000
2583,2584,江苏省,扬州市,江都区,,,321012000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,320000000000,321000000000,321012000000
2680,2681,贵州省,铜仁市,玉屏侗族自治县,,,520622000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520600000000,520622000000
2703,2704,安徽省,马鞍山市,和县,,,340523000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,340000000000,340500000000,340523000000
2718,2719,四川省,宜宾市,南溪区,,,511503000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,510000000000,511500000000,511503000000
2736,2737,贵州省,铜仁市,思南县,,,520624000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520600000000,520624000000
2860,2861,贵州省,铜仁市,德江县,,,520626000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520600000000,520626000000
2975,2976,重庆市,,大足区,,,500111000000,12/21/2017 11:19:14,12/21/2017 16:03:49,,名称变更,500000000000,500100000000,500111000000
3135,3136,贵州省,毕节市,威宁彝族回族苗族自治县,,,520526000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520500000000,520526000000
3202,3203,贵州省,毕节市,织金县,,,520524000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,520000000000,520500000000,520524000000
