,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
365,366,江苏省,苏州市,平江区,,,320503000000,12/21/2017 11:19:14,12/21/2017 14:52:41,12/31/2011,撤销,320000000000,320500000000,320503000000
821,822,四川省,雅安市,名山县,,,511821000000,12/21/2017 11:19:14,12/21/2017 14:52:41,12/31/2011,撤销,510000000000,511800000000,511821000000
980,981,安徽省,马鞍山市,金家庄区,,,340502000000,12/21/2017 11:19:14,12/21/2017 14:52:41,12/31/2011,撤销,340000000000,340500000000,340502000000
1670,1671,江苏省,苏州市,吴江市,,,320584000000,12/21/2017 11:19:14,12/21/2017 14:52:41,12/31/2011,撤销,320000000000,320500000000,320584000000
1674,1675,河北省,唐山市,唐海县,,,130230000000,12/21/2017 11:19:14,12/21/2017 14:52:41,12/31/2011,撤销,130000000000,130200000000,130230000000
2263,2264,山东省,青岛市,四方区,,,370205000000,12/21/2017 11:19:14,12/21/2017 14:52:41,12/31/2011,撤销,370000000000,370200000000,370205000000
2478,2479,广东省,揭阳市,揭东县,,,445221000000,12/21/2017 11:19:14,12/21/2017 14:52:41,12/31/2011,撤销,440000000000,445200000000,445221000000
2739,2740,江苏省,苏州市,金阊区,,,320504000000,12/21/2017 11:19:14,12/21/2017 14:52:41,12/31/2011,撤销,320000000000,320500000000,320504000000
2806,2807,江苏省,苏州市,沧浪区,,,320502000000,12/21/2017 11:19:14,12/21/2017 14:52:41,12/31/2011,撤销,320000000000,320500000000,320502000000
2831,2832,山东省,青岛市,胶南市,,,370284000000,12/21/2017 11:19:14,12/21/2017 14:52:41,12/31/2011,撤销,370000000000,370200000000,370284000000
2964,2965,广东省,清远市,清新县,,,441827000000,12/21/2017 11:19:14,12/21/2017 14:52:41,12/31/2011,撤销,440000000000,441800000000,441827000000
2966,2967,贵州省,贵阳市,小河区,,,520114000000,12/21/2017 11:19:14,12/21/2017 14:52:41,12/31/2011,撤销,520000000000,520100000000,520114000000
2970,2971,江苏省,泰州市,姜堰市,,,321284000000,12/21/2017 11:19:14,12/21/2017 14:52:41,12/31/2011,撤销,320000000000,321200000000,321284000000
