,Unnamed: 0,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
2,170,171,河北省,保定市,清苑县,,,130622000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,130000000000,130600000000,130622000000
3,202,203,河北省,保定市,北市区,,,130603000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,130000000000,130600000000,130603000000
4,351,352,云南省,玉溪市,江川县,,,530421000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,530000000000,530400000000,530421000000
5,561,562,青海省,海东市,平安县,,,630221000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,630000000000,630200000000,630221000000
6,581,582,河北省,保定市,满城县,,,130621000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,130000000000,130600000000,130621000000
8,651,652,云南省,保山市,腾冲县,,,530522000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,530000000000,530500000000,530522000000
9,812,813,河北省,石家庄市,桥东区,,,130103000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,130000000000,130100000000,130103000000
10,819,820,黑龙江省,牡丹江市,东宁县,,,231024000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,230000000000,231000000000,231024000000
11,849,850,河北省,保定市,新市区,,,130602000000,12/21/2017 11:18:21,12/21/2017 14:53:19,12/31/2014,名称变更,130000000000,130600000000,130602000000
13,925,926,江苏省,无锡市,北塘区,,,320204000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,320000000000,320200000000,320204000000
14,931,932,安徽省,六安市,寿县,,,341521000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,340000000000,341500000000,341521000000
15,983,984,江苏省,无锡市,崇安区,,,320202000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,320000000000,320200000000,320202000000
16,1024,1025,西藏自治区,林芝地区,林芝县,,,542621000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,540000000000,542600000000,542621000000
17,1055,1056,西藏自治区,林芝地区,米林县,,,542623000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,540000000000,542600000000,542623000000
18,1058,1059,四川省,成都市,双流县,,,510122000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,510000000000,510100000000,510122000000
19,1087,1088,陕西省,渭南市,华县,,,610521000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,610000000000,610500000000,610521000000
21,1169,1170,新疆维吾尔自治区,吐鲁番地区,托克逊县,,,652123000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,650000000000,652100000000,652123000000
22,1218,1219,四川省,甘孜藏族自治州,康定县,,,513321000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,510000000000,513300000000,513321000000
23,1248,1249,河北省,保定市,南市区,,,130604000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,130000000000,130600000000,130604000000
24,1308,1309,西藏自治区,林芝地区,波密县,,,542625000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,540000000000,542600000000,542625000000
25,1317,1318,西藏自治区,拉萨市,堆龙德庆县,,,540125000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,540000000000,540100000000,540125000000
26,1322,1323,安徽省,铜陵市,铜官山区,,,340702000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,340000000000,340700000000,340702000000
28,1446,1447,安徽省,安庆市,枞阳县,,,340823000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,340000000000,340800000000,340823000000
29,1456,1457,江苏省,盐城市,大丰市,,,320982000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,320000000000,320900000000,320982000000
30,1469,1470,广西壮族自治区,百色市,靖西县,,,451025000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,450000000000,451000000000,451025000000
31,1520,1521,四川省,阿坝藏族羌族自治州,马尔康县,,,513229000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,510000000000,513200000000,513229000000
32,1676,1677,江西省,南昌市,新建县,,,360122000000,12/21/2017 11:18:21,12/21/2017 14:53:33,12/31/2014,撤销,360000000000,360100000000,360122000000
