,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
20,21,黑龙江省,佳木斯市,抚远县,,,230833000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,230000000000,230800000000,230833000000
27,28,广西壮族自治区,河池市,宜州市,,,451281000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,450000000000,451200000000,451281000000
42,43,新疆维吾尔自治区,哈密地区,巴里坤哈萨克自治县,,,652222000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,650000000000,652200000000,652222000000
133,134,江西省,九江市,星子县,,,360427000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,360000000000,360400000000,360427000000
170,171,江西省,抚州市,东乡县,,,361029000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,360000000000,361000000000,361029000000
215,216,辽宁省,沈阳市,辽中县,,,210122000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,210000000000,210100000000,210122000000
346,347,西藏自治区,山南地区,隆子县,,,542231000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,540000000000,542200000000,542231000000
441,442,四川省,成都市,郫县,,,510124000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,510000000000,510100000000,510124000000
465,466,贵州省,遵义市,遵义县,,,520321000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,520000000000,520300000000,520321000000
635,636,重庆市,,梁平县,,,500228000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,500000000000,500200000000,500228000000
690,691,陕西省,延安市,安塞县,,,610624000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,610000000000,610600000000,610624000000
754,755,陕西省,西安市,户县,,,610125000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,610000000000,610100000000,610125000000
875,876,辽宁省,沈阳市,东陵区,,,210112000000,12/21/2017 11:18:15,12/21/2017 14:53:38,12/31/2015,名称变更,210000000000,210100000000,210112000000
920,921,河北省,张家口市,万全县,,,130729000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,130000000000,130700000000,130729000000
922,923,江苏省,淮安市,清浦区,,,320811000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,320000000000,320800000000,320811000000
1050,1051,新疆维吾尔自治区,哈密地区,伊吾县,,,652223000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,650000000000,652200000000,652223000000
1052,1053,山东省,济南市,章丘市,,,370181000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,370000000000,370100000000,370181000000
1366,1367,天津市,,蓟县,,,120225000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,120000000000,120200000000,120225000000
1393,1394,西藏自治区,山南地区,曲松县,,,542226000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,540000000000,542200000000,542226000000
1402,1403,河北省,邯郸市,肥乡县,,,130428000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,130000000000,130400000000,130428000000
1468,1469,广西壮族自治区,柳州市,柳江县,,,450221000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,450000000000,450200000000,450221000000
1471,1472,西藏自治区,山南地区,洛扎县,,,542228000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,540000000000,542200000000,542228000000
1542,1543,西藏自治区,山南地区,桑日县,,,542224000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,540000000000,542200000000,542224000000
1548,1549,浙江省,宁波市,奉化市,,,330283000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,330000000000,330200000000,330283000000
1558,1559,西藏自治区,山南地区,扎囊县,,,542222000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,540000000000,542200000000,542222000000
1561,1562,河南省,许昌市,许昌县,,,411023000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,410000000000,411000000000,411023000000
1601,1602,西藏自治区,山南地区,浪卡子县,,,542233000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,540000000000,542200000000,542233000000
1614,1615,河北省,衡水市,冀州市,,,131181000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,130000000000,131100000000,131181000000
1670,1671,新疆维吾尔自治区,哈密地区,哈密市,,,652201000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,650000000000,652200000000,652201000000
1780,1781,西藏自治区,山南地区,,,,542200000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,540000000000,542200000000,542200000000
1928,1929,山东省,东营市,垦利县,,,370521000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,370000000000,370500000000,370521000000
2044,2045,山东省,菏泽市,定陶县,,,371727000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,370000000000,371700000000,371727000000
2093,2094,辽宁省,盘锦市,大洼县,,,211121000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,210000000000,211100000000,211121000000
2149,2150,江西省,赣州市,赣县,,,360721000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,360000000000,360700000000,360721000000
2172,2173,云南省,昆明市,晋宁县,,,530122000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,530000000000,530100000000,530122000000
