,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
2186,2187,江苏省,淮安市,清河区,,,320802000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,320000000000,320800000000,320802000000
2194,2195,浙江省,宁波市,江东区,,,330204000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,330000000000,330200000000,330204000000
2222,2223,河北省,张家口市,宣化县,,,130721000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,130000000000,130700000000,130721000000
2324,2325,江西省,九江市,庐山区,,,360402000000,12/21/2017 11:18:15,12/21/2017 14:53:38,12/31/2015,名称变更,360000000000,360400000000,360402000000
2367,2368,上海市,,崇明县,,,310230000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,310000000000,310200000000,310230000000
2416,2417,西藏自治区,山南地区,琼结县,,,542225000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,540000000000,542200000000,542225000000
2432,2433,云南省,怒江傈僳族自治州,泸水县,,,533321000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,530000000000,533300000000,533321000000
2441,2442,四川省,阿坝藏族羌族自治州,马尔康区,,,513201000000,12/21/2017 11:18:15,12/21/2017 16:05:31,12/31/2015,名称变更,510000000000,513200000000,513201000000
2456,2457,河北省,张家口市,崇礼县,,,130733000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,130000000000,130700000000,130733000000
2475,2476,河北省,邯郸市,永年县,,,130429000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,130000000000,130400000000,130429000000
2483,2484,重庆市,,武隆县,,,500232000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,500000000000,500200000000,500232000000
2655,2656,西藏自治区,山南地区,错那县,,,542232000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,540000000000,542200000000,542232000000
2696,2697,新疆维吾尔自治区,哈密地区,,,,652200000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,650000000000,652200000000,652200000000
2771,2772,重庆市,,开县,,,500234000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,500000000000,500200000000,500234000000
2825,2826,四川省,绵阳市,安县,,,510724000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,510000000000,510700000000,510724000000
2886,2887,西藏自治区,山南地区,措美县,,,542227000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,540000000000,542200000000,542227000000
3051,3052,河北省,邯郸市,邯郸县,,,130421000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,130000000000,130400000000,130421000000
3057,3058,云南省,曲靖市,沾益县,,,530328000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,530000000000,530300000000,530328000000
3086,3087,四川省,资阳市,简阳市,,,512081000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,510000000000,512000000000,512081000000
3114,3115,西藏自治区,山南地区,加查县,,,542229000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,540000000000,542200000000,542229000000
3120,3121,江苏省,淮安市,洪泽县,,,320829000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,320000000000,320800000000,320829000000
3190,3191,西藏自治区,山南地区,乃东县,,,542221000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,540000000000,542200000000,542221000000
3200,3201,西藏自治区,山南地区,贡嘎县,,,542223000000,12/21/2017 11:18:15,12/21/2017 14:53:50,12/31/2015,撤销,540000000000,542200000000,542223000000
