,province,city,code_num,code_province,code_city,code_area
890,江西省,上饶市,361100000000,360000000000,361100000000,361100000000
905,广东省,韶关市,440200000000,440000000000,440200000000,440200000000
910,广东省,揭阳市,445200000000,440000000000,445200000000,445200000000
919,福建省,泉州市,350500000000,350000000000,350500000000,350500000000
931,山西省,阳泉市,140300000000,140000000000,140300000000,140300000000
943,河南省,濮阳市,410900000000,410000000000,410900000000,410900000000
956,湖北省,孝感市,420900000000,420000000000,420900000000,420900000000
972,内蒙古自治区,乌海市,150300000000,150000000000,150300000000,150300000000
980,广西壮族自治区,南宁市,450100000000,450000000000,450100000000,450100000000
982,江西省,南昌市,360100000000,360000000000,360100000000,360100000000
1021,山东省,滨州市,371600000000,370000000000,371600000000,371600000000
1030,吉林省,松原市,220700000000,220000000000,220700000000,220700000000
1040,安徽省,安庆市,340800000000,340000000000,340800000000,340800000000
1043,新疆维吾尔自治区,乌鲁木齐市,650100000000,650000000000,650100000000,650100000000
1063,安徽省,马鞍山市,340500000000,340000000000,340500000000,340500000000
1077,黑龙江省,牡丹江市,231000000000,230000000000,231000000000,231000000000
1088,甘肃省,平凉市,620800000000,620000000000,620800000000,620800000000
1095,云南省,文山壮族苗族自治州,532600000000,530000000000,532600000000,532600000000
1100,吉林省,辽源市,220400000000,220000000000,220400000000,220400000000
1105,河北省,保定市,130600000000,130000000000,130600000000,130600000000
1112,湖南省,湘西土家族苗族自治州,433100000000,430000000000,433100000000,433100000000
1136,贵州省,六盘水市,520200000000,520000000000,520200000000,520200000000
1149,山西省,朔州市,140600000000,140000000000,140600000000,140600000000
1163,湖北省,襄阳市,420600000000,420000000000,420600000000,420600000000
1164,湖南省,怀化市,431200000000,430000000000,431200000000,431200000000
1177,云南省,昆明市,530100000000,530000000000,530100000000,530100000000
1178,湖南省,岳阳市,430600000000,430000000000,430600000000,430600000000
1187,安徽省,淮北市,340600000000,340000000000,340600000000,340600000000
1198,江西省,抚州市,361000000000,360000000000,361000000000,361000000000
1206,广东省,肇庆市,441200000000,440000000000,441200000000,441200000000
1217,贵州省,遵义市,520300000000,520000000000,520300000000,520300000000
1218,湖北省,荆门市,420800000000,420000000000,420800000000,420800000000
1223,福建省,三明市,350400000000,350000000000,350400000000,350400000000
1234,西藏自治区,那曲地区,542400000000,540000000000,542400000000,542400000000
1236,内蒙古自治区,包头市,150200000000,150000000000,150200000000,150200000000
1247,浙江省,衢州市,330800000000,330000000000,330800000000,330800000000
1258,黑龙江省,鹤岗市,230400000000,230000000000,230400000000,230400000000
1265,广东省,中山市,442000000000,440000000000,442000000000,442000000000
1283,四川省,泸州市,510500000000,510000000000,510500000000,510500000000
1286,新疆维吾尔自治区,阿克苏地区,652900000000,650000000000,652900000000,652900000000
1292,山西省,长治市,140400000000,140000000000,140400000000,140400000000
1298,江苏省,南京市,320100000000,320000000000,320100000000,320100000000
1323,黑龙江省,绥化市,231200000000,230000000000,231200000000,231200000000
1324,江苏省,无锡市,320200000000,320000000000,320200000000,320200000000
1332,宁夏回族自治区,中卫市,640500000000,640000000000,640500000000,640500000000
1345,山东省,菏泽市,371700000000,370000000000,371700000000,371700000000
1353,陕西省,西安市,610100000000,610000000000,610100000000,610100000000
1356,吉林省,白山市,220600000000,220000000000,220600000000,220600000000
1372,山西省,晋城市,140500000000,140000000000,140500000000,140500000000
1404,安徽省,六安市,341500000000,340000000000,341500000000,341500000000
1407,四川省,德阳市,510600000000,510000000000,510600000000,510600000000
1409,新疆维吾尔自治区,巴音郭楞蒙古自治州,652800000000,650000000000,652800000000,652800000000
1414,广东省,深圳市,440300000000,440000000000,440300000000,440300000000
1441,辽宁省,营口市,210800000000,210000000000,210800000000,210800000000
1459,山东省,泰安市,370900000000,370000000000,370900000000,370900000000
1488,四川省,眉山市,511400000000,510000000000,511400000000,511400000000
1498,湖北省,鄂州市,420700000000,420000000000,420700000000,420700000000
1500,江苏省,扬州市,321000000000,320000000000,321000000000,321000000000
1509,湖南省,邵阳市,430500000000,430000000000,430500000000,430500000000
1516,江西省,景德镇市,360200000000,360000000000,360200000000,360200000000
1532,浙江省,舟山市,330900000000,330000000000,330900000000,330900000000
1537,内蒙古自治区,阿拉善盟,152900000000,150000000000,152900000000,152900000000
1543,黑龙江省,鸡西市,230300000000,230000000000,230300000000,230300000000
1545,河北省,张家口市,130700000000,130000000000,130700000000,130700000000
1562,西藏自治区,阿里地区,542500000000,540000000000,542500000000,542500000000
1564,甘肃省,酒泉市,620900000000,620000000000,620900000000,620900000000
1574,新疆维吾尔自治区,克拉玛依市,650200000000,650000000000,650200000000,650200000000
1580,江西省,宜春市,360900000000,360000000000,360900000000,360900000000
1584,吉林省,通化市,220500000000,220000000000,220500000000,220500000000
1592,河北省,邢台市,130500000000,130000000000,130500000000,130500000000
1604,广西壮族自治区,玉林市,450900000000,450000000000,450900000000,450900000000
1626,山东省,莱芜市,371200000000,370000000000,371200000000,371200000000
1636,广西壮族自治区,桂林市,450300000000,450000000000,450300000000,450300000000
1640,新疆维吾尔自治区,博尔塔拉蒙古自治州,652700000000,650000000000,652700000000,652700000000
1649,河南省,商丘市,411400000000,410000000000,411400000000,411400000000
1650,湖南省,娄底市,431300000000,430000000000,431300000000,431300000000
1661,四川省,攀枝花市,510400000000,510000000000,510400000000,510400000000
1681,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,653000000000,650000000000,653000000000,653000000000
1685,吉林省,延边朝鲜族自治州,222400000000,220000000000,222400000000,222400000000
1687,内蒙古自治区,赤峰市,150400000000,150000000000,150400000000,150400000000
1702,西藏自治区,昌都市,540300000000,540000000000,540300000000,540300000000
1728,广东省,东莞市,441900000000,440000000000,441900000000,441900000000
1765,云南省,西双版纳傣族自治州,532800000000,530000000000,532800000000,532800000000
1771,安徽省,宿州市,341300000000,340000000000,341300000000,341300000000
1780,西藏自治区,山南地区,542200000000,540000000000,542200000000,542200000000
1802,广东省,茂名市,440900000000,440000000000,440900000000,440900000000
1812,贵州省,安顺市,520400000000,520000000000,520400000000,520400000000
1840,云南省,临沧市,530900000000,530000000000,530900000000,530900000000
1841,青海省,海北藏族自治州,632200000000,630000000000,632200000000,632200000000
1848,广西壮族自治区,河池市,451200000000,450000000000,451200000000,451200000000
1857,山东省,淄博市,370300000000,370000000000,370300000000,370300000000
1861,湖南省,衡阳市,430400000000,430000000000,430400000000,430400000000
1895,四川省,南充市,511300000000,510000000000,511300000000,511300000000
1906,宁夏回族自治区,吴忠市,640300000000,640000000000,640300000000,640300000000
1912,山东省,济宁市,370800000000,370000000000,370800000000,370800000000
1915,甘肃省,金昌市,620300000000,620000000000,620300000000,620300000000
1932,陕西省,宝鸡市,610300000000,610000000000,610300000000,610300000000
1941,四川省,阿坝藏族羌族自治州,513200000000,510000000000,513200000000,513200000000
1963,江苏省,苏州市,320500000000,320000000000,320500000000,320500000000
1966,江西省,萍乡市,360300000000,360000000000,360300000000,360300000000
1980,福建省,莆田市,350300000000,350000000000,350300000000,350300000000
1986,青海省,玉树藏族自治州,632700000000,630000000000,632700000000,632700000000
2027,四川省,甘孜藏族自治州,513300000000,510000000000,513300000000,513300000000
2032,云南省,玉溪市,530400000000,530000000000,530400000000,530400000000
2033,广东省,清远市,441800000000,440000000000,441800000000,441800000000
2043,陕西省,安康市,610900000000,610000000000,610900000000,610900000000
2049,安徽省,蚌埠市,340300000000,340000000000,340300000000,340300000000
2056,内蒙古自治区,通辽市,150500000000,150000000000,150500000000,150500000000
2061,西藏自治区,日喀则市,540200000000,540000000000,540200000000,540200000000
2070,云南省,大理白族自治州,532900000000,530000000000,532900000000,532900000000
2081,湖北省,宜昌市,420500000000,420000000000,420500000000,420500000000
2084,广东省,珠海市,440400000000,440000000000,440400000000,440400000000
2087,甘肃省,临夏回族自治州,622900000000,620000000000,622900000000,622900000000
2098,辽宁省,葫芦岛市,211400000000,210000000000,211400000000,211400000000
