id,code_origin,name_origin,type,code_change,name_change,create_time,edit_time
1,,,新设街道,120106012000,和苑街道,12/21/2017 11:19:52,12/21/2017 11:19:52
2,,,新设街道,120111003000,赤龙南街道,12/21/2017 11:19:52,12/21/2017 11:19:52
3,,,新设街道,120111004000,赤龙北街道,12/21/2017 11:19:52,12/21/2017 11:19:52
4,,,新设街道,120112001000,双新街道,12/21/2017 11:19:52,12/21/2017 11:19:52
5,211321213000,杨树湾乡,撤乡建镇,211321116000,杨树湾镇,12/21/2017 11:19:52,12/21/2017 11:19:52
6,211382208000,三道河子乡,撤乡建镇,211382117000,三道河子镇,12/21/2017 11:19:52,12/21/2017 11:19:52
7,220113105000,土们岭镇,撤镇建街道,220113005000,卡伦湖街道,12/21/2017 11:19:52,12/21/2017 11:19:52
8,220113108000,苇子沟镇,撤镇建街道,220113006000,东湖街道,12/21/2017 11:19:52,12/21/2017 11:19:52
9,220113109000,兴隆镇,撤镇建街道,220113007000,土们岭街道,12/21/2017 11:19:52,12/21/2017 11:19:52
10,220113111000,纪家镇,撤镇建街道,220113008000,波泥河街道,12/21/2017 11:19:52,12/21/2017 11:19:52
11,220113112000,波泥河镇,撤镇建街道,220113009000,苇子沟街道,12/21/2017 11:19:52,12/21/2017 11:19:52
12,220113113000,卡伦湖镇,撤镇建街道,220113010000,兴隆街道,12/21/2017 11:19:52,12/21/2017 11:19:52
13,220113114000,东湖镇,撤镇建街道,220113011000,纪家街道,12/21/2017 11:19:52,12/21/2017 11:19:52
14,,,新设街道,220283005000,滨河街道,12/21/2017 11:19:52,12/21/2017 11:19:52
15,,,新设街道,310112009000,浦锦街道,12/21/2017 11:19:52,12/21/2017 11:19:52
16,,,新设街道,310117005000,广富林街道,12/21/2017 11:19:52,12/21/2017 11:19:52
17,,,新设街道,310117006000,九里亭街道,12/21/2017 11:19:52,12/21/2017 11:19:52
18,320621100000,海安镇,撤镇建街道,320621001000,中城街道,12/21/2017 11:19:52,12/21/2017 11:19:52
19,320621100000,海安镇,撤镇建街道,320621002000,南城街道,12/21/2017 11:19:52,12/21/2017 11:19:52
20,320621100000,海安镇,撤镇建街道,320621003000,西城街道,12/21/2017 11:19:52,12/21/2017 11:19:52
21,320621100000,海安镇,撤镇建街道,320621004000,北城街道,12/21/2017 11:19:52,12/21/2017 11:19:52
22,320830100000,盱城镇,撤镇建街道,320830001000,盱城街道,12/21/2017 11:19:52,12/21/2017 11:19:52
23,320830100000,盱城镇,撤镇建街道,320830002000,太和街道,12/21/2017 11:19:52,12/21/2017 11:19:52
24,320830203000,古桑乡,撤乡建镇,320830003000,古桑街道,12/21/2017 11:19:52,12/21/2017 11:19:52
25,320830202000,王店乡,撤乡建镇,320830114000,天泉湖镇,12/21/2017 11:19:52,12/21/2017 11:19:52
26,320831104000,银集镇,并镇,320831111000,银涂镇,12/21/2017 11:19:52,12/21/2017 11:19:52
27,320831105000,涂沟镇,并镇,320831111000,银涂镇,12/21/2017 11:19:52,12/21/2017 11:19:52
28,,,新设街道,320992004000,新河街道,12/21/2017 11:19:52,12/21/2017 11:19:52
29,,,新设街道,330211005000,贵驷街道,12/21/2017 11:19:52,12/21/2017 11:19:52
30,,,新设镇,330302101000,山福镇,12/21/2017 11:19:52,12/21/2017 11:19:52
31,,,新设镇,330328102000,二源镇,12/21/2017 11:19:52,12/21/2017 11:19:52
32,,,新设镇,330328115000,周壤镇,12/21/2017 11:19:52,12/21/2017 11:19:52
33,,,新设镇,330328116000,铜铃山镇,12/21/2017 11:19:52,12/21/2017 11:19:52
34,,,新设乡,330328210000,桂山乡,12/21/2017 11:19:52,12/21/2017 11:19:52
35,,,新设乡,330328211000,双桂乡,12/21/2017 11:19:52,12/21/2017 11:19:52
36,,,新设乡,330328212000,平和乡,12/21/2017 11:19:52,12/21/2017 11:19:52
37,,,新设乡,330328213000,公阳乡,12/21/2017 11:19:52,12/21/2017 11:19:52
38,,,新设街道,330381011000,潘岱街道,12/21/2017 11:19:52,12/21/2017 11:19:52
39,,,新设街道,330381012000,云周街道,12/21/2017 11:19:52,12/21/2017 11:19:52
40,,,新设镇,330381129000,桐浦镇,12/21/2017 11:19:52,12/21/2017 11:19:52
41,,,新设镇,330381130000,曹村镇,12/21/2017 11:19:52,12/21/2017 11:19:52
42,,,新设镇,330381131000,林川镇,12/21/2017 11:19:52,12/21/2017 11:19:52
43,,,新设镇,330381132000,平阳坑镇,12/21/2017 11:19:52,12/21/2017 11:19:52
44,,,新设乡,330381201000,北麂乡,12/21/2017 11:19:52,12/21/2017 11:19:52
45,,,新设乡,330381202000,芳庄乡,12/21/2017 11:19:52,12/21/2017 11:19:52
46,,,新设镇,330382129000,磐石镇,12/21/2017 11:19:52,12/21/2017 11:19:52
47,,,新设镇,330382130000,蒲岐镇,12/21/2017 11:19:52,12/21/2017 11:19:52
48,,,新设镇,330382131000,南岳镇,12/21/2017 11:19:52,12/21/2017 11:19:52
49,,,新设镇,330382132000,南塘镇,12/21/2017 11:19:52,12/21/2017 11:19:52
50,,,新设镇,330382133000,湖雾镇,12/21/2017 11:19:52,12/21/2017 11:19:52
51,,,新设乡,330382200000,岭底乡,12/21/2017 11:19:52,12/21/2017 11:19:52
52,,,新设乡,330382201000,智仁乡,12/21/2017 11:19:52,12/21/2017 11:19:52
53,,,新设乡,330382202000,龙西乡,12/21/2017 11:19:52,12/21/2017 11:19:52
54,341021202000,雄村乡,撤乡建镇,341021113000,雄村镇,12/21/2017 11:19:52,12/21/2017 11:19:52
55,341021213000,三阳乡,撤乡建镇,341021114000,三阳镇,12/21/2017 11:19:52,12/21/2017 11:19:52
56,341802102000,寒亭镇,撤乡建镇,341222128000,郭庙镇,12/21/2017 11:19:52,12/21/2017 11:19:52
57,341802210000,朱桥乡,撤乡建镇,341222128000,郭庙镇,12/21/2017 11:19:52,12/21/2017 11:19:52
58,341825200000,版书乡,撤乡建镇,341825108000,版书镇,12/21/2017 11:19:52,12/21/2017 11:19:52
59,350424205000,安乐乡,撤乡建镇,350424107000,安乐镇,12/21/2017 11:19:52,12/21/2017 11:19:52
60,350424210000,水茜乡,撤乡建镇,350424108000,水茜镇,12/21/2017 11:19:52,12/21/2017 11:19:52
61,350823201000,下都乡,撤乡建镇,350823115000,下都镇,12/21/2017 11:19:52,12/21/2017 11:19:52
