,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
1,2,宁夏回族自治区,吴忠市,红寺堡区,,,640303000000,12/21/2017 11:19:28,12/21/2017 14:51:42,,新增,640000000000,640300000000,640303000000
1158,1159,江苏省,南通市,通州区,,,320612000000,12/21/2017 11:19:28,12/21/2017 14:51:42,,新增,320000000000,320600000000,320612000000
2160,2161,天津市,,滨海新区,,,120116000000,12/21/2017 11:19:28,12/21/2017 14:51:42,,新增,120000000000,120100000000,120116000000
2942,2943,湖北省,随州市,随县,,,421321000000,12/21/2017 11:19:28,12/21/2017 14:51:42,,新增,420000000000,421300000000,421321000000
