,province,area,code_num,code_province,code_city,code_area
26,重庆市,城口县,500229000000,500000000000,500200000000,500229000000
34,海南省,文昌市,469005000000,460000000000,469000000000,469005000000
73,重庆市,铜梁县,500224000000,500000000000,500200000000,500224000000
76,重庆市,黔江区,500114000000,500000000000,500100000000,500114000000
86,天津市,南开区,120104000000,120000000000,120100000000,120104000000
112,北京市,密云县,110228000000,110000000000,110200000000,110228000000
121,天津市,静海县,120223000000,120000000000,120200000000,120223000000
155,北京市,顺义区,110113000000,110000000000,110100000000,110113000000
166,天津市,北辰区,120113000000,120000000000,120100000000,120113000000
216,重庆市,江北区,500105000000,500000000000,500100000000,500105000000
287,新疆维吾尔自治区,北屯市,659005000000,650000000000,659000000000,659005000000
310,重庆市,忠县,500233000000,500000000000,500200000000,500233000000
316,上海市,宝山区,310113000000,310000000000,310100000000,310113000000
319,重庆市,巫溪县,500238000000,500000000000,500200000000,500238000000
329,上海市,嘉定区,310114000000,310000000000,310100000000,310114000000
431,重庆市,北碚区,500109000000,500000000000,500100000000,500109000000
474,新疆维吾尔自治区,铁门关市,659006000000,650000000000,659000000000,659006000000
550,湖北省,仙桃市,429004000000,420000000000,429000000000,429004000000
569,新疆维吾尔自治区,石河子市,659001000000,650000000000,659000000000,659001000000
575,重庆市,大渡口区,500104000000,500000000000,500100000000,500104000000
576,天津市,武清区,120114000000,120000000000,120100000000,120114000000
599,上海市,虹口区,310109000000,310000000000,310100000000,310109000000
605,重庆市,潼南县,500223000000,500000000000,500200000000,500223000000
624,上海市,徐汇区,310104000000,310000000000,310100000000,310104000000
631,重庆市,梁平县,500228000000,500000000000,500200000000,500228000000
699,海南省,五指山市,469001000000,460000000000,469000000000,469001000000
728,海南省,万宁市,469006000000,460000000000,469000000000,469006000000
752,上海市,长宁区,310105000000,310000000000,310100000000,310105000000
868,北京市,延庆县,110229000000,110000000000,110200000000,110229000000
908,海南省,屯昌县,469022000000,460000000000,469000000000,469022000000
922,重庆市,万州区,500101000000,500000000000,500100000000,500101000000
926,天津市,津南区,120112000000,120000000000,120100000000,120112000000
959,重庆市,綦江区,500110000000,500000000000,500100000000,500110000000
1012,上海市,浦东新区,310115000000,310000000000,310100000000,310115000000
1039,上海市,松江区,310117000000,310000000000,310100000000,310117000000
1050,北京市,西城区,110102000000,110000000000,110100000000,110102000000
1116,重庆市,巫山县,500237000000,500000000000,500200000000,500237000000
1170,重庆市,渝北区,500112000000,500000000000,500100000000,500112000000
1193,海南省,临高县,469024000000,460000000000,469000000000,469024000000
1283,北京市,平谷区,110117000000,110000000000,110100000000,110117000000
1290,北京市,房山区,110111000000,110000000000,110100000000,110111000000
1336,海南省,陵水黎族自治县,469028000000,460000000000,469000000000,469028000000
1371,天津市,蓟县,120225000000,120000000000,120200000000,120225000000
1375,北京市,海淀区,110108000000,110000000000,110100000000,110108000000
1409,重庆市,永川区,500118000000,500000000000,500100000000,500118000000
1413,河南省,济源市,419001000000,410000000000,419000000000,419001000000
1427,重庆市,江津区,500116000000,500000000000,500100000000,500116000000
1432,天津市,宁河县,120221000000,120000000000,120200000000,120221000000
1480,重庆市,石柱土家族自治县,500240000000,500000000000,500200000000,500240000000
1508,上海市,奉贤区,310120000000,310000000000,310100000000,310120000000
1577,重庆市,酉阳土家族苗族自治县,500242000000,500000000000,500200000000,500242000000
1592,上海市,金山区,310116000000,310000000000,310100000000,310116000000
1670,北京市,东城区,110101000000,110000000000,110100000000,110101000000
1682,重庆市,涪陵区,500102000000,500000000000,500100000000,500102000000
1694,海南省,定安县,469021000000,460000000000,469000000000,469021000000
1724,新疆维吾尔自治区,图木舒克市,659003000000,650000000000,659000000000,659003000000
1737,重庆市,九龙坡区,500107000000,500000000000,500100000000,500107000000
1750,海南省,琼中黎族苗族自治县,469030000000,460000000000,469000000000,469030000000
1764,北京市,丰台区,110106000000,110000000000,110100000000,110106000000
1767,湖北省,天门市,429006000000,420000000000,429000000000,429006000000
1793,海南省,昌江黎族自治县,469026000000,460000000000,469000000000,469026000000
1823,北京市,大兴区,110115000000,110000000000,110100000000,110115000000
1827,天津市,和平区,120101000000,120000000000,120100000000,120101000000
1871,天津市,红桥区,120106000000,120000000000,120100000000,120106000000
1893,重庆市,垫江县,500231000000,500000000000,500200000000,500231000000
1993,重庆市,奉节县,500236000000,500000000000,500200000000,500236000000
2017,重庆市,丰都县,500230000000,500000000000,500200000000,500230000000
2041,天津市,河东区,120102000000,120000000000,120100000000,120102000000
2043,重庆市,云阳县,500235000000,500000000000,500200000000,500235000000
2061,重庆市,璧山县,500227000000,500000000000,500200000000,500227000000
2082,天津市,东丽区,120110000000,120000000000,120100000000,120110000000
2097,上海市,黄浦区,310101000000,310000000000,310100000000,310101000000
2126,重庆市,南岸区,500108000000,500000000000,500100000000,500108000000
2144,新疆维吾尔自治区,阿拉尔市,659002000000,650000000000,659000000000,659002000000
2147,天津市,西青区,120111000000,120000000000,120100000000,120111000000
2171,天津市,滨海新区,120116000000,120000000000,120100000000,120116000000
2203,重庆市,渝中区,500103000000,500000000000,500100000000,500103000000
2211,天津市,宝坻区,120115000000,120000000000,120100000000,120115000000
2304,重庆市,荣昌县,500226000000,500000000000,500200000000,500226000000
2325,上海市,静安区,310106000000,310000000000,310100000000,310106000000
2335,海南省,东方市,469007000000,460000000000,469000000000,469007000000
2366,上海市,崇明县,310230000000,310000000000,310200000000,310230000000
2374,上海市,闸北区,310108000000,310000000000,310100000000,310108000000
2387,海南省,琼海市,469002000000,460000000000,469000000000,469002000000
2394,海南省,儋州市,469003000000,460000000000,469000000000,469003000000
2403,上海市,普陀区,310107000000,310000000000,310100000000,310107000000
2420,北京市,昌平区,110114000000,110000000000,110100000000,110114000000
2483,新疆维吾尔自治区,五家渠市,659004000000,650000000000,659000000000,659004000000
2485,重庆市,武隆县,500232000000,500000000000,500200000000,500232000000
2500,重庆市,长寿区,500115000000,500000000000,500100000000,500115000000
2517,海南省,乐东黎族自治县,469027000000,460000000000,469000000000,469027000000
2543,湖北省,潜江市,429005000000,420000000000,429000000000,429005000000
2546,天津市,河北区,120105000000,120000000000,120100000000,120105000000
2553,北京市,朝阳区,110105000000,110000000000,110100000000,110105000000
2584,重庆市,沙坪坝区,500106000000,500000000000,500100000000,500106000000
2634,北京市,石景山区,110107000000,110000000000,110100000000,110107000000
2654,上海市,杨浦区,310110000000,310000000000,310100000000,310110000000
2689,湖北省,神农架林区,429021000000,420000000000,429000000000,429021000000
2718,天津市,河西区,120103000000,120000000000,120100000000,120103000000
2773,重庆市,开县,500234000000,500000000000,500200000000,500234000000
2823,上海市,闵行区,310112000000,310000000000,310100000000,310112000000
2834,重庆市,彭水苗族土家族自治县,500243000000,500000000000,500200000000,500243000000
2844,重庆市,合川区,500117000000,500000000000,500100000000,500117000000
2853,海南省,保亭黎族苗族自治县,469029000000,460000000000,469000000000,469029000000
2911,上海市,青浦区,310118000000,310000000000,310100000000,310118000000
2965,北京市,怀柔区,110116000000,110000000000,110100000000,110116000000
2981,重庆市,大足区,500111000000,500000000000,500100000000,500111000000
2984,北京市,门头沟区,110109000000,110000000000,110100000000,110109000000
3007,海南省,白沙黎族自治县,469025000000,460000000000,469000000000,469025000000
3008,北京市,通州区,110112000000,110000000000,110100000000,110112000000
3054,重庆市,巴南区,500113000000,500000000000,500100000000,500113000000
3059,海南省,澄迈县,469023000000,460000000000,469000000000,469023000000
3166,重庆市,南川区,500119000000,500000000000,500100000000,500119000000
3184,重庆市,秀山土家族苗族自治县,500241000000,500000000000,500200000000,500241000000
