,Unnamed: 0,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
3,146,147,天津市,,静海区,,,120118000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,120000000000,120100000000,120118000000
6,277,278,北京市,,密云区,,,110118000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,110000000000,110100000000,110118000000
15,876,877,北京市,,延庆区,,,110119000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,110000000000,110100000000,110119000000
25,1403,1404,重庆市,,荣昌区,,,500153000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,500000000000,500100000000,500153000000
27,1913,1914,新疆维吾尔自治区,,可克达拉市,,,659008000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,650000000000,659000000000,659008000000
40,2460,2461,重庆市,,潼南区,,,500152000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,500000000000,500100000000,500152000000
41,2543,2544,天津市,,宁河区,,,120117000000,12/21/2017 11:18:15,12/21/2017 14:53:36,,新增,120000000000,120100000000,120117000000
