,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
41,42,四川省,绵阳市,安州区,,,510705000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,510000000000,510700000000,510705000000
180,181,新疆维吾尔自治区,哈密市,,,,650500000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,650000000000,650500000000,650500000000
186,187,云南省,昆明市,晋宁区,,,530115000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,530000000000,530100000000,530115000000
189,190,重庆市,,武隆区,,,500156000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,500000000000,500100000000,500156000000
439,440,云南省,曲靖市,沾益区,,,530303000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,530000000000,530300000000,530303000000
462,463,西藏自治区,山南市,,,,540500000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540500000000
508,509,广西壮族自治区,柳州市,柳江区,,,450206000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,450000000000,450200000000,450206000000
667,668,河北省,邯郸市,肥乡区,,,130407000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,130000000000,130400000000,130407000000
798,799,四川省,成都市,简阳市,,,510185000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,510000000000,510100000000,510185000000
802,803,西藏自治区,山南市,琼结县,,,540524000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540524000000
873,874,辽宁省,沈阳市,浑南区,,,210112000000,12/21/2017 11:18:09,12/21/2017 16:05:31,,名称变更,210000000000,210100000000,210112000000
878,879,河北省,张家口市,万全区,,,130708000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,130000000000,130700000000,130708000000
885,886,黑龙江省,佳木斯市,抚远市,,,230883000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,230000000000,230800000000,230883000000
946,947,山东省,济南市,章丘区,,,370114000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,370000000000,370100000000,370114000000
989,990,江苏省,淮安市,洪泽区,,,320813000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,320000000000,320800000000,320813000000
1020,1021,西藏自治区,山南市,浪卡子县,,,540531000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540531000000
1116,1117,新疆维吾尔自治区,,昆玉市,,,659009000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,650000000000,659000000000,659009000000
1132,1133,内蒙古自治区,鄂尔多斯市,康巴什区,,,150603000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,150000000000,150600000000,150603000000
1135,1136,广西壮族自治区,河池市,宜州区,,,451203000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,450000000000,451200000000,451203000000
1256,1257,西藏自治区,山南市,贡嘎县,,,540522000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540522000000
1275,1276,重庆市,,梁平区,,,500155000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,500000000000,500100000000,500155000000
1302,1303,山东省,东营市,垦利区,,,370505000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,370000000000,370500000000,370505000000
1316,1317,江西省,九江市,庐山市,,,360483000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,360000000000,360400000000,360483000000
1372,1373,河北省,衡水市,冀州区,,,131103000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,130000000000,131100000000,131103000000
1466,1467,陕西省,延安市,安塞区,,,610603000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,610000000000,610600000000,610603000000
1482,1483,贵州省,遵义市,播州区,,,520304000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,520000000000,520300000000,520304000000
1522,1523,西藏自治区,山南市,措美县,,,540526000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540526000000
1536,1537,西藏自治区,山南市,加查县,,,540528000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540528000000
1630,1631,江苏省,淮安市,清江浦区,,,320812000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,320000000000,320800000000,320812000000
1859,1860,西藏自治区,山南市,乃东区,,,540502000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540502000000
1944,1945,新疆维吾尔自治区,哈密市,巴里坤哈萨克自治县,,,650521000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,650000000000,650500000000,650521000000
2118,2119,新疆维吾尔自治区,哈密市,伊州区,,,650502000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,650000000000,650500000000,650502000000
2233,2234,云南省,怒江傈僳族自治州,泸水市,,,533301000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,530000000000,533300000000,533301000000
2266,2267,广西壮族自治区,贺州市,平桂区,,,451103000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,450000000000,451100000000,451103000000
2303,2304,四川省,成都市,郫都区,,,510117000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,510000000000,510100000000,510117000000
2321,2322,江西省,九江市,濂溪区,,,360402000000,12/21/2017 11:18:09,12/21/2017 16:05:31,,名称变更,360000000000,360400000000,360402000000
2435,2436,四川省,阿坝藏族羌族自治州,马尔康市,,,513201000000,12/21/2017 11:18:09,12/21/2017 16:05:31,,名称变更,510000000000,513200000000,513201000000
2438,2439,山东省,菏泽市,定陶区,,,371703000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,370000000000,371700000000,371703000000
2448,2449,河南省,许昌市,建安区,,,411003000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,410000000000,411000000000,411003000000
2483,2484,河北省,邯郸市,永年区,,,130408000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,130000000000,130400000000,130408000000
2591,2592,广东省,深圳市,坪山区,,,440310000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,440000000000,440300000000,440310000000
2674,2675,天津市,,蓟州区,,,120119000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,120000000000,120100000000,120119000000
2703,2704,广东省,深圳市,龙华区,,,440309000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,440000000000,440300000000,440309000000
2732,2733,新疆维吾尔自治区,哈密市,伊吾县,,,650522000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,650000000000,650500000000,650522000000
2796,2797,陕西省,西安市,鄠邑区,,,610118000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,610000000000,610100000000,610118000000
2825,2826,江西省,赣州市,赣县区,,,360704000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,360000000000,360700000000,360704000000
2830,2831,辽宁省,沈阳市,辽中区,,,210115000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,210000000000,210100000000,210115000000
2835,2836,上海市,,崇明区,,,310151000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,310000000000,310100000000,310151000000
2859,2860,西藏自治区,山南市,错那县,,,540530000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540530000000
2891,2892,浙江省,宁波市,奉化区,,,330213000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,330000000000,330200000000,330213000000
2947,2948,西藏自治区,山南市,扎囊县,,,540521000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540521000000
2993,2994,重庆市,,开州区,,,500154000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,500000000000,500100000000,500154000000
3077,3078,西藏自治区,山南市,曲松县,,,540525000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540525000000
3098,3099,西藏自治区,山南市,桑日县,,,540523000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540523000000
3106,3107,河北省,张家口市,崇礼区,,,130709000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,130000000000,130700000000,130709000000
3132,3133,西藏自治区,山南市,洛扎县,,,540527000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540527000000
3190,3191,江西省,抚州市,东乡区,,,361003000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,360000000000,361000000000,361003000000
3205,3206,辽宁省,盘锦市,大洼区,,,211104000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,210000000000,211100000000,211104000000
3207,3208,西藏自治区,山南市,隆子县,,,540529000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,540000000000,540500000000,540529000000
