,Unnamed: 0,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
3,283,284,新疆维吾尔自治区,,北屯市,,,659005000000,12/21/2017 11:19:14,12/21/2017 14:52:23,,新增,650000000000,659000000000,659005000000
11,949,950,重庆市,,綦江区,,,500110000000,12/21/2017 11:19:14,12/21/2017 16:03:49,,名称变更,500000000000,500100000000,500110000000
30,2975,2976,重庆市,,大足区,,,500111000000,12/21/2017 11:19:14,12/21/2017 16:03:49,,名称变更,500000000000,500100000000,500111000000
