,Unnamed: 0,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
21,1023,1024,新疆维吾尔自治区,,双河市,,,659007000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,650000000000,659000000000,659007000000
26,1438,1439,重庆市,,铜梁区,,,500151000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,500000000000,500100000000,500151000000
59,2905,2906,重庆市,,璧山区,,,500120000000,12/21/2017 11:18:21,12/21/2017 14:53:16,,新增,500000000000,500100000000,500120000000
