,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
64,65,浙江省,绍兴市,上虞区,,,330604000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,330000000000,330600000000,330604000000
123,124,广西壮族自治区,桂林市,临桂区,,,450312000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,450000000000,450300000000,450312000000
135,136,广东省,潮州市,潮安区,,,445103000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,440000000000,445100000000,445103000000
298,299,青海省,海东市,循化撒拉族自治县,,,630225000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,630000000000,630200000000,630225000000
301,302,香港特别行政区,,,,,810000000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,810000000000,810000000000,810000000000
413,414,广东省,梅州市,梅县区,,,441403000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,440000000000,441400000000,441403000000
559,560,青海省,海东市,平安县,,,630221000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,630000000000,630200000000,630221000000
607,608,云南省,红河哈尼族彝族自治州,弥勒市,,,532504000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,530000000000,532500000000,532504000000
655,656,浙江省,绍兴市,柯桥区,,,330603000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,330000000000,330600000000,330603000000
765,766,台湾省,,,,,710000000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,710000000000,710000000000,710000000000
857,858,青海省,海东市,化隆回族自治县,,,630224000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,630000000000,630200000000,630224000000
973,974,青海省,玉树藏族自治州,玉树市,,,632701000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,630000000000,632700000000,632701000000
1201,1202,澳门特别行政区,,,,,820000000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,820000000000,820000000000,820000000000
1210,1211,内蒙古自治区,呼伦贝尔市,扎赉诺尔区,,,150703000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,150000000000,150700000000,150703000000
1381,1382,四川省,巴中市,恩阳区,,,511903000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,510000000000,511900000000,511903000000
1443,1444,江西省,赣州市,南康区,,,360703000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,360000000000,360700000000,360703000000
1616,1617,广西壮族自治区,梧州市,龙圩区,,,450406000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,450000000000,450400000000,450406000000
1635,1636,四川省,达州市,达川区,,,511703000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,510000000000,511700000000,511703000000
1876,1877,青海省,海东市,互助土族自治县,,,630223000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,630000000000,630200000000,630223000000
2045,2046,吉林省,松原市,扶余市,,,220781000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,220000000000,220700000000,220781000000
2055,2056,江苏省,南京市,溧水区,,,320117000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,320000000000,320100000000,320117000000
2162,2163,青海省,海东市,民和回族土族自治县,,,630222000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,630000000000,630200000000,630222000000
2244,2245,四川省,广安市,前锋区,,,511603000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,510000000000,511600000000,511603000000
2683,2684,江苏省,南京市,高淳区,,,320118000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,320000000000,320100000000,320118000000
2712,2713,四川省,广元市,昭化区,,,510811000000,12/21/2017 11:18:26,12/21/2017 16:04:30,,名称变更,510000000000,510800000000,510811000000
2860,2861,青海省,海东市,,,,630200000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,630000000000,630200000000,630200000000
2938,2939,广西壮族自治区,玉林市,福绵区,,,450903000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,450000000000,450900000000,450903000000
3120,3121,青海省,海东市,乐都区,,,630202000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,630000000000,630200000000,630202000000
3140,3141,山东省,济宁市,兖州区,,,370812000000,12/21/2017 11:18:26,12/21/2017 14:53:00,,新增,370000000000,370800000000,370812000000
