,Unnamed: 0,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
3,189,190,重庆市,,武隆区,,,500156000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,500000000000,500100000000,500156000000
16,1116,1117,新疆维吾尔自治区,,昆玉市,,,659009000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,650000000000,659000000000,659009000000
20,1275,1276,重庆市,,梁平区,,,500155000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,500000000000,500100000000,500155000000
41,2674,2675,天津市,,蓟州区,,,120119000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,120000000000,120100000000,120119000000
47,2835,2836,上海市,,崇明区,,,310151000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,310000000000,310100000000,310151000000
51,2993,2994,重庆市,,开州区,,,500154000000,12/21/2017 11:18:09,12/21/2017 14:53:52,,新增,500000000000,500100000000,500154000000
