,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
147,148,天津市,,大港区,,,120109000000,12/21/2017 11:19:34,12/21/2017 14:51:39,12/31/2008,撤销,120000000000,120100000000,120109000000
519,520,江苏省,南通市,通州市,,,320683000000,12/21/2017 11:19:34,12/21/2017 14:51:39,12/31/2008,撤销,320000000000,320600000000,320683000000
975,976,天津市,,汉沽区,,,120108000000,12/21/2017 11:19:34,12/21/2017 14:51:39,12/31/2008,撤销,120000000000,120100000000,120108000000
1269,1270,上海市,,南汇区,,,310119000000,12/21/2017 11:19:34,12/21/2017 14:51:39,12/31/2008,撤销,310000000000,310100000000,310119000000
2048,2049,天津市,,塘沽区,,,120107000000,12/21/2017 11:19:34,12/21/2017 14:51:39,12/31/2008,撤销,120000000000,120100000000,120107000000
