,Unnamed: 0,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
5,660,661,重庆市,,大足县,,,500225000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,500000000000,500200000000,500225000000
10,804,805,上海市,,卢湾区,,,310103000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,310000000000,310100000000,310103000000
13,951,952,重庆市,,万盛区,,,500110000000,12/21/2017 11:19:22,12/21/2017 14:52:05,12/31/2010,名称变更,500000000000,500100000000,500110000000
23,2046,2047,重庆市,,綦江县,,,500222000000,12/21/2017 11:19:22,12/21/2017 14:52:21,12/31/2010,撤销,500000000000,500200000000,500222000000
33,2978,2979,重庆市,,双桥区,,,500111000000,12/21/2017 11:19:22,12/21/2017 14:52:05,12/31/2010,名称变更,500000000000,500100000000,500111000000
