,id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type,code_province,code_city,code_area
102,103,湖北省,襄阳市,枣阳市,,,420683000000,12/21/2017 11:19:22,12/21/2017 16:03:29,,名称变更,420000000000,420600000000,420683000000
105,106,江西省,九江市,共青城市,,,360482000000,12/21/2017 11:19:22,12/21/2017 14:52:02,,新增,360000000000,360400000000,360482000000
346,347,云南省,文山壮族苗族自治州,文山市,,,532601000000,12/21/2017 11:19:22,12/21/2017 14:52:02,,新增,530000000000,532600000000,532601000000
828,829,湖北省,襄阳市,宜城市,,,420684000000,12/21/2017 11:19:22,12/21/2017 16:03:29,,名称变更,420000000000,420600000000,420684000000
924,925,湖北省,襄阳市,南漳县,,,420624000000,12/21/2017 11:19:22,12/21/2017 16:03:29,,名称变更,420000000000,420600000000,420624000000
936,937,吉林省,白山市,浑江区,,,220602000000,12/21/2017 11:19:22,12/21/2017 16:03:29,,名称变更,220000000000,220600000000,220602000000
976,977,江苏省,徐州市,铜山区,,,320312000000,12/21/2017 11:19:22,12/21/2017 14:52:02,,新增,320000000000,320300000000,320312000000
1156,1157,湖北省,襄阳市,,,,420600000000,12/21/2017 11:19:22,12/21/2017 16:03:29,,名称变更,420000000000,420600000000,420600000000
1255,1256,湖北省,襄阳市,樊城区,,,420606000000,12/21/2017 11:19:22,12/21/2017 16:03:29,,名称变更,420000000000,420600000000,420606000000
1336,1337,湖北省,襄阳市,老河口市,,,420682000000,12/21/2017 11:19:22,12/21/2017 16:03:29,,名称变更,420000000000,420600000000,420682000000
1456,1457,云南省,德宏傣族景颇族自治州,芒市,,,533103000000,12/21/2017 11:19:22,12/21/2017 16:03:29,,名称变更,530000000000,533100000000,533103000000
1593,1594,湖北省,襄阳市,谷城县,,,420625000000,12/21/2017 11:19:22,12/21/2017 16:03:29,,名称变更,420000000000,420600000000,420625000000
1854,1855,湖北省,襄阳市,襄州区,,,420607000000,12/21/2017 11:19:22,12/21/2017 16:03:29,,名称变更,420000000000,420600000000,420607000000
1923,1924,湖北省,襄阳市,襄城区,,,420602000000,12/21/2017 11:19:22,12/21/2017 16:03:29,,名称变更,420000000000,420600000000,420602000000
2074,2075,云南省,红河哈尼族彝族自治州,蒙自市,,,532503000000,12/21/2017 11:19:22,12/21/2017 14:52:02,,新增,530000000000,532500000000,532503000000
2251,2252,湖北省,襄阳市,保康县,,,420626000000,12/21/2017 11:19:22,12/21/2017 16:03:29,,名称变更,420000000000,420600000000,420626000000
