,province,city,code_num,code_province,code_city,code_area
6,河北省,唐山市,130200000000,130000000000,130200000000,130200000000
9,山西省,吕梁市,141100000000,140000000000,141100000000,141100000000
19,陕西省,商洛市,611000000000,610000000000,611000000000,611000000000
27,山东省,聊城市,371500000000,370000000000,371500000000,371500000000
29,黑龙江省,黑河市,231100000000,230000000000,231100000000,231100000000
30,湖南省,郴州市,431000000000,430000000000,431000000000,431000000000
35,湖北省,武汉市,420100000000,420000000000,420100000000,420100000000
43,吉林省,白城市,220800000000,220000000000,220800000000,220800000000
49,江西省,鹰潭市,360600000000,360000000000,360600000000,360600000000
67,四川省,绵阳市,510700000000,510000000000,510700000000,510700000000
75,吉林省,吉林市,220200000000,220000000000,220200000000,220200000000
77,河南省,驻马店市,411700000000,410000000000,411700000000,411700000000
90,广西壮族自治区,防城港市,450600000000,450000000000,450600000000,450600000000
91,四川省,成都市,510100000000,510000000000,510100000000,510100000000
98,河北省,承德市,130800000000,130000000000,130800000000,130800000000
109,浙江省,金华市,330700000000,330000000000,330700000000,330700000000
126,辽宁省,铁岭市,211200000000,210000000000,211200000000,211200000000
132,河南省,漯河市,411100000000,410000000000,411100000000,411100000000
142,安徽省,铜陵市,340700000000,340000000000,340700000000,340700000000
155,甘肃省,武威市,620600000000,620000000000,620600000000,620600000000
157,安徽省,合肥市,340100000000,340000000000,340100000000,340100000000
167,浙江省,杭州市,330100000000,330000000000,330100000000,330100000000
171,陕西省,汉中市,610700000000,610000000000,610700000000,610700000000
193,福建省,漳州市,350600000000,350000000000,350600000000,350600000000
204,辽宁省,大连市,210200000000,210000000000,210200000000,210200000000
218,广东省,佛山市,440600000000,440000000000,440600000000,440600000000
223,湖南省,长沙市,430100000000,430000000000,430100000000,430100000000
229,山西省,运城市,140800000000,140000000000,140800000000,140800000000
230,青海省,海南藏族自治州,632500000000,630000000000,632500000000,632500000000
235,黑龙江省,齐齐哈尔市,230200000000,230000000000,230200000000,230200000000
243,江苏省,淮安市,320800000000,320000000000,320800000000,320800000000
244,广东省,云浮市,445300000000,440000000000,445300000000,445300000000
260,山东省,烟台市,370600000000,370000000000,370600000000,370600000000
269,四川省,内江市,511000000000,510000000000,511000000000,511000000000
284,河南省,焦作市,410800000000,410000000000,410800000000,410800000000
299,辽宁省,阜新市,210900000000,210000000000,210900000000,210900000000
303,内蒙古自治区,呼和浩特市,150100000000,150000000000,150100000000,150100000000
304,安徽省,亳州市,341600000000,340000000000,341600000000,341600000000
315,山西省,太原市,140100000000,140000000000,140100000000,140100000000
331,江苏省,镇江市,321100000000,320000000000,321100000000,321100000000
343,浙江省,丽水市,331100000000,330000000000,331100000000,331100000000
361,贵州省,黔东南苗族侗族自治州,522600000000,520000000000,522600000000,522600000000
367,云南省,丽江市,530700000000,530000000000,530700000000,530700000000
374,河南省,郑州市,410100000000,410000000000,410100000000,410100000000
389,广西壮族自治区,百色市,451000000000,450000000000,451000000000,451000000000
392,福建省,福州市,350100000000,350000000000,350100000000,350100000000
405,甘肃省,张掖市,620700000000,620000000000,620700000000,620700000000
430,山西省,晋中市,140700000000,140000000000,140700000000,140700000000
448,福建省,南平市,350700000000,350000000000,350700000000,350700000000
456,安徽省,池州市,341700000000,340000000000,341700000000,341700000000
461,广东省,广州市,440100000000,440000000000,440100000000,440100000000
468,四川省,乐山市,511100000000,510000000000,511100000000,511100000000
469,河南省,周口市,411600000000,410000000000,411600000000,411600000000
488,黑龙江省,哈尔滨市,230100000000,230000000000,230100000000,230100000000
492,江西省,新余市,360500000000,360000000000,360500000000,360500000000
493,河北省,沧州市,130900000000,130000000000,130900000000,130900000000
512,新疆维吾尔自治区,塔城地区,654200000000,650000000000,654200000000,654200000000
526,浙江省,宁波市,330200000000,330000000000,330200000000,330200000000
536,四川省,达州市,511700000000,510000000000,511700000000,511700000000
541,云南省,迪庆藏族自治州,533400000000,530000000000,533400000000,533400000000
543,河南省,许昌市,411000000000,410000000000,411000000000,411000000000
547,广西壮族自治区,钦州市,450700000000,450000000000,450700000000,450700000000
554,甘肃省,兰州市,620100000000,620000000000,620100000000,620100000000
566,山西省,临汾市,141000000000,140000000000,141000000000,141000000000
582,贵州省,贵阳市,520100000000,520000000000,520100000000,520100000000
590,新疆维吾尔自治区,阿勒泰地区,654300000000,650000000000,654300000000,654300000000
604,江苏省,泰州市,321200000000,320000000000,321200000000,321200000000
