,province,city,code_num
1495,江苏省,扬州市,321000000000
1504,湖南省,邵阳市,430500000000
1512,江西省,景德镇市,360200000000
1526,浙江省,舟山市,330900000000
1531,内蒙古自治区,阿拉善盟,152900000000
1537,黑龙江省,鸡西市,230300000000
1539,河北省,张家口市,130700000000
1555,西藏自治区,阿里地区,542500000000
1557,甘肃省,酒泉市,620900000000
1567,新疆维吾尔自治区,克拉玛依市,650200000000
1573,江西省,宜春市,360900000000
1577,吉林省,通化市,220500000000
1584,河北省,邢台市,130500000000
1596,广西壮族自治区,玉林市,450900000000
1617,山东省,莱芜市,371200000000
1626,广西壮族自治区,桂林市,450300000000
1629,新疆维吾尔自治区,博尔塔拉蒙古自治州,652700000000
1639,河南省,商丘市,411400000000
1641,湖南省,娄底市,431300000000
1652,四川省,攀枝花市,510400000000
1675,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,653000000000
1680,吉林省,延边朝鲜族自治州,222400000000
1682,内蒙古自治区,赤峰市,150400000000
1725,广东省,东莞市,441900000000
1766,云南省,西双版纳傣族自治州,532800000000
1772,安徽省,宿州市,341300000000
1782,西藏自治区,山南地区,542200000000
1803,广东省,茂名市,440900000000
1814,贵州省,安顺市,520400000000
1843,云南省,临沧市,530900000000
1844,青海省,海北藏族自治州,632200000000
1852,广西壮族自治区,河池市,451200000000
1860,山东省,淄博市,370300000000
1864,湖南省,衡阳市,430400000000
1895,四川省,南充市,511300000000
1905,宁夏回族自治区,吴忠市,640300000000
1911,山东省,济宁市,370800000000
1914,甘肃省,金昌市,620300000000
1929,陕西省,宝鸡市,610300000000
1940,四川省,阿坝藏族羌族自治州,513200000000
1962,江苏省,苏州市,320500000000
1965,江西省,萍乡市,360300000000
1978,福建省,莆田市,350300000000
1984,青海省,玉树藏族自治州,632700000000
2022,四川省,甘孜藏族自治州,513300000000
2027,云南省,玉溪市,530400000000
2028,广东省,清远市,441800000000
2037,陕西省,安康市,610900000000
2043,安徽省,蚌埠市,340300000000
2049,内蒙古自治区,通辽市,150500000000
2064,云南省,大理白族自治州,532900000000
2077,湖北省,宜昌市,420500000000
2079,广东省,珠海市,440400000000
2081,甘肃省,临夏回族自治州,622900000000
2091,辽宁省,葫芦岛市,211400000000
2108,江苏省,宿迁市,321300000000
2123,辽宁省,丹东市,210600000000
2124,山东省,日照市,371100000000
2147,内蒙古自治区,兴安盟,152200000000
2153,广西壮族自治区,贵港市,450800000000
2181,广东省,潮州市,445100000000
2185,湖南省,湘潭市,430300000000
2189,广西壮族自治区,柳州市,450200000000
2196,河北省,邯郸市,130400000000
2199,贵州省,黔西南布依族苗族自治州,522300000000
2206,安徽省,阜阳市,341200000000
2212,陕西省,咸阳市,610400000000
2233,黑龙江省,双鸭山市,230500000000
2244,宁夏回族自治区,石嘴山市,640200000000
2253,四川省,自贡市,510300000000
2263,河南省,信阳市,411500000000
2282,贵州省,铜仁地区,522200000000
2298,广东省,惠州市,441300000000
2299,云南省,曲靖市,530300000000
