id,province,city,area,street,community,code_num,create_time,edit_time,expire_date,change_type
61,河北省,邢台市,邢台县,,,130521000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
62,广西壮族自治区,百色市,德保县,,,451024000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
63,贵州省,黔东南苗族侗族自治州,从江县,,,522633000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
64,江苏省,苏州市,姑苏区,,,320508000000,12/21/2017 11:18:52,12/21/2017 14:52:43,,新增
65,福建省,泉州市,洛江区,,,350504000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
66,广东省,珠海市,斗门区,,,440403000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
67,陕西省,延安市,富县,,,610628000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
68,湖北省,黄冈市,英山县,,,421124000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
69,江苏省,常州市,天宁区,,,320402000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
70,西藏自治区,日喀则地区,南木林县,,,542322000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
71,四川省,绵阳市,,,,510700000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
72,四川省,阿坝藏族羌族自治州,壤塘县,,,513230000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
73,重庆市,,铜梁县,,,500224000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
74,贵州省,黔东南苗族侗族自治州,剑河县,,,522629000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
75,安徽省,蚌埠市,龙子湖区,,,340302000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
76,重庆市,,黔江区,,,500114000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
77,广东省,梅州市,蕉岭县,,,441427000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
78,四川省,南充市,阆中市,,,511381000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
79,吉林省,吉林市,,,,220200000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
80,四川省,广安市,邻水县,,,511623000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
81,河南省,驻马店市,,,,411700000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
82,广西壮族自治区,桂林市,阳朔县,,,450321000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
83,贵州省,铜仁市,石阡县,,,520623000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
84,安徽省,阜阳市,阜南县,,,341225000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
85,陕西省,延安市,黄陵县,,,610632000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
86,天津市,,南开区,,,120104000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
87,河南省,信阳市,淮滨县,,,411527000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
88,河北省,保定市,望都县,,,130631000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
89,辽宁省,沈阳市,沈北新区,,,210113000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
90,江西省,上饶市,横峰县,,,361125000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
91,河南省,商丘市,民权县,,,411421000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
92,湖南省,邵阳市,绥宁县,,,430527000000,12/21/2017 11:18:52,12/21/2017 14:50:41,,
